timestamp,value1,value2,value3,value4,value5
1744681759888,190,275,330,168,369
1744681759888,192,275,327,165,370
1744681759904,190,273,325,166,368
1744681759904,191,273,323,166,368
1744681759924,192,274,325,167,368
1744681759924,192,274,325,168,370
1744681759956,192,273,324,166,369
1744681759990,190,272,324,165,368
1744681760006,192,272,327,169,368
1744681760029,192,274,329,167,370
1744681760029,192,275,327,168,370
1744681760049,192,276,330,169,372
1744681760049,192,275,330,171,371
1744681760049,192,275,330,169,373
1744681760049,191,272,329,166,370
1744681760049,192,273,327,169,370
1744681760052,192,272,325,166,368
1744681760052,190,272,324,165,368
1744681760065,190,272,325,169,368
1744681760065,189,272,326,165,367
1744681760083,189,272,325,165,368
1744681760083,190,273,327,167,368
1744681760098,192,272,325,166,369
1744681760100,190,273,327,167,369
1744681760114,187,272,326,165,368
1744681760131,192,272,326,166,369
1744681760131,188,272,324,164,367
1744681760150,191,273,329,164,368
1744681760150,191,272,326,164,368
1744681760164,191,272,326,163,367
1744681760181,192,272,326,165,368
1744681760181,190,275,331,163,369
1744681760198,192,273,327,168,368
1744681760214,191,274,329,166,369
1744681760214,192,273,327,166,368
1744681760231,191,274,326,165,369
1744681760248,192,272,326,163,369
1744681760248,192,273,330,169,368
1744681760265,191,273,327,166,368
1744681760265,192,276,326,165,369
1744681760283,192,275,329,165,370
1744681760283,192,272,327,167,372
1744681760315,191,273,327,165,369
1744681760348,191,274,326,166,370
1744681760365,191,272,325,163,368
1744681760382,191,273,325,167,370
1744681760382,192,272,326,167,370
1744681760400,191,278,326,166,369
1744681760417,192,273,327,165,369
1744681760417,192,274,329,166,373
1744681760417,192,273,327,166,369
1744681760419,192,283,326,164,368
1744681760437,192,272,326,167,369
1744681760437,192,274,330,167,371
1744681760437,192,274,326,166,372
1744681760437,190,273,327,167,370
1744681760437,192,273,330,167,369
1744681760453,191,275,330,167,371
1744681760453,191,275,331,166,369
1744681760470,196,284,336,174,381
1744681760471,197,284,337,170,378
1744681760487,195,282,338,171,379
1744681760503,195,282,338,170,381
1744681760503,194,285,339,173,381
1744681760519,193,281,336,170,379
1744681760519,194,284,337,173,379
1744681760536,192,282,336,171,378
1744681760553,192,278,336,169,378
1744681760553,192,279,336,166,373
1744681760570,192,277,335,167,374
1744681760587,191,275,333,165,373
1744681760587,193,278,336,171,378
1744681760604,192,277,334,169,377
1744681760604,190,274,331,166,373
1744681760621,191,273,329,165,369
1744681760621,189,273,326,163,369
1744681760636,188,272,327,164,370
1744681760653,183,269,321,160,368
1744681760653,182,267,321,157,366
1744681760687,183,266,320,157,366
1744681760707,182,267,318,155,366
1744681760736,182,266,316,155,365
1744681760753,181,266,319,155,367
1744681760753,181,263,318,158,367
1744681760753,182,267,319,155,368
1744681760753,183,270,320,158,368
1744681760753,183,267,320,158,368
1744681760753,186,272,323,160,369
1744681760770,185,270,322,158,368
1744681760787,183,271,322,158,368
1744681760822,185,268,321,159,368
1744681760838,188,272,322,158,368
1744681760870,185,272,322,159,368
1744681760887,187,272,321,159,368
1744681760949,185,273,326,161,369
1744681761005,187,272,326,160,368
1744681761042,187,272,325,160,368
1744681761061,189,273,330,162,369
1744681761095,188,273,331,163,370
1744681761114,189,272,326,163,369
1744681761144,187,273,327,162,370
1744681761161,186,272,326,162,368
1744681761194,183,272,323,161,368
1744681761211,185,270,324,161,369
1744681761244,186,272,326,161,369
1744681761280,186,272,327,162,369
1744681761293,186,272,326,161,369
1744681761327,187,272,326,162,368
1744681761374,186,272,325,161,369
1744681761395,188,272,327,161,369
1744681761428,187,271,326,162,368
1744681761428,188,272,331,163,368
1744681761428,189,274,329,162,369
1744681761428,186,272,330,160,370
1744681761460,187,273,321,158,366
1744681761476,189,272,323,160,368
1744681761512,191,273,323,160,368
1744681761527,190,274,329,161,369
1744681761562,192,274,327,161,371
1744681761595,192,275,330,161,368
1744681761611,191,275,329,163,368
1744681761644,185,275,330,154,370
1744681761658,189,274,326,160,369
1744681761678,190,274,329,161,367
1744681761678,192,273,326,161,368
1744681761678,190,276,329,163,371
1744681761678,192,273,326,161,368
1744681761694,191,272,331,162,369
1744681761711,191,273,330,161,368
1744681761745,192,272,330,162,369
1744681761791,191,272,327,159,368
1744681761825,191,272,327,160,368
1744681761841,190,272,327,161,370
1744681761878,190,272,327,160,368
1744681761878,188,272,326,160,368
1744681761878,189,272,325,159,370
1744681761878,188,270,322,159,367
1744681761878,185,270,322,156,365
1744681761878,181,262,316,151,358
