timestamp,value1,value2,value3,value4,value5
1744681468211,180,266,313,157,359
1744681468222,178,266,314,155,357
1744681468239,177,267,315,158,362
1744681468242,179,265,314,159,360
1744681468247,179,267,313,158,361
1744681468274,179,263,314,157,360
1744681468311,178,267,316,158,363
1744681468368,178,267,315,157,363
1744681468381,179,269,317,158,362
1744681468382,178,265,315,158,363
1744681468402,176,263,314,157,359
1744681468402,178,265,314,157,361
1744681468402,178,267,315,157,360
1744681468405,178,270,318,160,363
1744681468420,177,265,317,158,362
1744681468420,176,266,318,158,360
1744681468420,179,266,314,158,361
1744681468439,177,265,314,158,360
1744681468439,176,263,314,157,359
1744681468439,177,262,311,155,358
1744681468439,176,262,313,155,357
1744681468456,177,262,313,154,359
1744681468456,176,261,313,155,357
1744681468456,176,266,313,155,355
1744681468458,176,262,308,155,355
1744681468473,177,261,311,154,355
1744681468473,176,261,309,156,357
1744681468473,176,260,310,155,356
1744681468499,176,261,310,155,355
1744681468499,176,259,309,156,355
1744681468499,176,258,309,155,353
1744681468499,175,257,307,150,354
1744681468499,175,257,308,154,355
1744681468521,175,259,309,153,354
1744681468521,176,259,309,158,357
1744681468535,176,261,311,158,359
1744681468535,176,261,311,158,360
1744681468574,176,259,311,158,361
1744681468585,177,267,317,160,358
1744681468585,178,270,319,158,363
1744681468585,180,270,320,160,366
1744681468585,183,270,320,161,366
1744681468597,179,267,320,159,364
1744681468618,178,268,320,163,368
1744681468618,181,265,319,160,365
1744681468635,180,267,318,159,364
1744681468635,179,269,317,159,367
1744681468635,179,267,319,160,364
1744681468651,176,267,317,160,364
1744681468682,179,266,318,160,361
1744681468721,178,267,317,160,363
1744681468741,178,267,318,160,363
1744681468756,180,265,317,159,363
1744681468756,178,264,317,160,363
1744681468775,178,264,314,161,363
1744681468775,177,267,318,162,362
1744681468775,176,267,314,160,361
1744681468775,179,263,314,159,363
1744681468789,179,263,311,157,362
1744681468789,176,263,311,160,359
1744681468789,176,266,310,161,358
1744681468808,176,263,312,160,360
1744681468808,176,259,313,162,361
1744681468808,176,263,313,158,363
1744681468814,176,261,310,158,362
1744681468821,176,258,307,155,358
1744681468826,176,262,309,158,360
1744681468840,177,259,307,155,356
1744681468857,176,262,309,154,357
1744681468857,176,261,307,157,359
1744681468874,178,265,307,155,360
1744681468891,177,263,309,157,359
1744681468891,178,261,308,157,359
1744681468908,176,263,309,158,358
1744681468908,176,261,307,157,357
1744681468924,176,262,307,155,358
1744681468926,176,262,310,158,359
1744681468940,178,264,312,155,359
1744681468959,177,264,313,157,359
1744681468959,177,265,312,157,359
1744681468974,178,269,314,159,359
1744681468974,179,266,314,159,363
1744681468992,179,266,313,158,363
1744681469006,177,266,314,157,363
1744681469012,179,269,315,158,363
1744681469019,177,266,311,157,361
1744681469051,178,265,311,157,362
1744681469078,179,266,314,159,362
1744681469102,178,265,312,158,362
1744681469119,179,268,315,158,363
1744681469125,180,268,317,158,364
1744681469141,179,270,315,158,363
1744681469141,180,267,317,159,366
1744681469145,181,272,318,159,366
1744681469158,179,267,311,157,363
1744681469158,181,267,315,159,363
1744681469158,178,267,315,158,366
1744681469179,180,267,316,159,363
1744681469179,179,267,317,160,363
1744681469202,179,267,317,157,363
1744681469203,180,269,315,159,365
1744681469221,182,270,320,160,368
1744681469221,181,269,319,159,367
1744681469221,181,271,320,159,367
1744681469223,179,268,317,160,364
1744681469238,179,268,317,157,366
1744681469238,183,272,320,160,368
1744681469245,180,271,320,159,367
1744681469245,183,272,322,165,368
1744681469271,183,272,323,162,368
1744681469288,183,272,321,161,368
1744681469303,185,272,320,164,368
1744681469304,182,274,324,166,368
1744681469327,189,275,330,167,375
1744681469361,188,277,331,170,375
1744681469373,189,281,334,171,374
1744681469373,191,283,336,175,378
1744681469373,190,279,334,174,376
1744681469373,193,283,336,176,381
1744681469390,193,286,337,176,383
1744681469390,193,282,335,171,379
1744681469390,191,279,333,171,375
1744681469390,192,277,332,172,378
1744681469444,190,279,329,171,375
1744681469464,191,278,329,170,373
1744681469480,191,275,326,169,370
1744681469480,188,278,327,169,373
1744681469483,189,275,326,170,369
1744681469498,188,274,325,167,371
1744681469498,191,278,327,174,374
1744681469498,190,277,327,171,371
1744681469514,191,279,331,171,373
1744681469514,190,278,325,171,371
1744681469514,189,279,326,170,372
1744681469530,188,275,322,167,368
1744681469530,189,275,322,171,369
1744681469530,186,274,322,169,368
1744681469548,187,272,321,166,368
1744681469548,186,273,322,170,370
1744681469563,186,273,320,167,368
1744681469565,187,275,324,167,368
1744681469598,190,274,326,171,368
1744681469607,190,274,324,169,369
1744681469632,188,272,323,168,368
