timestamp,value1,value2,value3,value4,value5
1744681015275,157,230,273,129,323
1744681015296,159,229,273,128,323
1744681015309,157,230,272,128,323
1744681015315,158,230,272,128,321
1744681015333,157,230,273,129,323
1744681015333,,231,273,129,323
1744681015333,159,230,272,129,322
1744681015333,157,229,272,128,322
1744681015333,158,229,272,128,322
1744681015333,157,231,272,129,323
1744681015349,155,229,272,128,323
1744681015349,158,229,273,128,322
1744681015349,156,228,273,129,324
1744681015350,158,229,273,129,323
1744681015366,158,230,273,129,322
1744681015366,156,231,272,128,323
1744681015366,158,229,273,129,322
1744681015382,157,228,273,129,322
1744681015382,157,230,274,128,322
1744681015398,158,231,273,128,324
1744681015399,158,230,274,129,324
1744681015416,158,230,273,129,322
1744681015416,158,231,272,129,323
1744681015436,158,230,272,129,323
1744681015450,158,230,273,130,323
1744681015451,157,231,273,129,324
1744681015465,160,231,273,131,323
1744681015476,157,229,273,128,324
1744681015484,157,230,273,129,323
1744681015493,158,230,272,129,322
1744681015505,157,233,273,130,323
1744681015523,158,231,273,128,322
1744681015543,158,229,273,128,323
1744681015562,158,231,274,128,325
1744681015562,158,230,273,129,323
1744681015562,159,228,274,129,323
1744681015563,157,230,273,129,323
1744681015579,157,229,273,130,323
1744681015592,159,229,275,130,325
1744681015615,157,230,273,130,324
1744681015646,158,229,274,129,324
1744681015685,156,233,273,129,324
1744681015685,158,232,273,130,325
1744681015696,157,230,273,128,321
1744681015696,159,231,273,128,323
1744681015715,158,230,272,128,322
1744681015715,158,230,272,130,323
1744681015715,157,231,272,129,322
1744681015715,156,231,272,129,321
1744681015729,159,230,274,129,322
1744681015729,155,231,274,129,322
1744681015729,156,228,272,133,319
1744681015746,158,230,272,128,323
1744681015746,155,230,274,130,325
1744681015746,158,229,273,129,323
1744681015763,158,229,274,129,324
1744681015763,158,231,274,129,323
1744681015781,157,230,274,129,322
1744681015781,158,230,272,129,325
1744681015796,158,229,272,128,322
1744681015797,158,230,273,129,323
1744681015813,159,229,273,128,323
1744681015831,157,229,273,129,325
1744681015831,157,229,272,130,323
1744681015847,158,227,272,129,323
1744681015847,158,230,272,130,323
1744681015867,157,229,273,130,322
1744681015898,158,231,273,129,323
1744681015899,157,228,272,129,325
1744681015899,156,229,272,128,323
1744681015918,157,229,273,129,323
1744681015935,158,227,272,129,323
1744681015952,157,228,272,129,324
1744681015952,155,227,274,129,325
1744681015952,156,228,274,128,321
1744681015952,158,231,273,130,325
1744681015984,158,230,272,131,323
1744681016017,158,229,274,128,323
1744681016035,158,229,272,128,322
1744681016068,157,228,273,128,323
1744681016101,157,229,273,129,322
1744681016101,157,234,273,128,321
1744681016101,157,227,274,129,322
1744681016101,158,229,272,129,324
1744681016101,157,231,273,130,323
1744681016101,158,229,273,129,322
1744681016101,159,230,273,129,322
1744681016118,158,229,272,128,322
1744681016118,156,230,273,130,323
1744681016118,157,230,273,128,323
1744681016118,158,230,273,129,323
1744681016118,157,231,274,131,323
1744681016136,158,232,274,129,323
1744681016136,157,229,273,128,321
1744681016151,158,232,275,128,322
1744681016151,158,231,273,129,323
1744681016168,157,231,276,129,322
1744681016188,158,234,274,129,325
1744681016201,158,234,274,130,324
1744681016201,160,234,275,130,326
1744681016219,159,233,276,129,325
1744681016219,160,234,277,130,326
1744681016219,160,235,276,131,326
1744681016236,160,236,279,133,327
1744681016253,160,238,277,132,330
1744681016253,161,237,281,132,327
1744681016269,162,237,281,133,332
1744681016292,161,237,280,134,330
1744681016295,162,236,281,131,330
1744681016313,160,238,278,134,333
1744681016313,161,238,282,133,329
1744681016313,162,240,283,133,332
1744681016343,162,237,281,133,332
1744681016380,161,237,281,133,331
1744681016416,163,240,281,136,331
1744681016445,161,238,279,133,332
1744681016445,163,240,282,134,332
1744681016445,162,240,281,135,334
1744681016447,162,239,283,134,333
1744681016517,165,240,282,134,331
1744681016517,164,240,283,135,334
1744681016557,165,240,283,138,333
1744681016559,165,240,286,135,334
1744681016595,166,240,286,135,335
1744681016595,163,240,287,137,336
1744681016595,162,240,288,137,335
1744681016595,166,240,286,135,335
1744681016595,164,240,286,134,336
1744681016596,162,240,287,135,336
1744681016596,165,240,287,133,336
1744681016597,162,240,288,135,336
1744681016612,163,240,284,134,335
1744681016612,161,240,287,135,335
1744681016627,162,240,285,133,335
1744681016627,163,239,291,130,334
1744681016627,164,240,287,135,335
1744681016627,163,240,287,134,333
1744681016627,163,240,287,133,336
1744681016627,163,240,285,135,335
1744681016627,161,240,286,134,334
1744681016627,165,240,286,133,333
1744681016643,164,240,285,131,334
1744681016643,162,240,283,134,333
1744681016643,160,239,285,132,334
1744681016660,162,240,285,134,332
1744681016677,162,239,283,131,333
1744681016695,160,240,283,132,332
1744681016695,160,240,285,133,334
1744681016695,162,239,284,133,334
1744681016747,162,239,283,132,331
1744681016780,161,240,283,134,332
1744681016804,161,239,284,133,331
1744681016828,162,238,283,132,333
1744681016848,163,239,283,134,333
1744681016848,162,239,283,133,329
1744681016848,162,238,282,133,331
1744681016848,162,238,282,132,331
1744681016848,162,239,283,132,331
1744681016856,160,237,281,134,330
1744681016880,162,239,283,131,331
1744681016880,161,238,282,133,331
1744681016880,161,238,283,131,331
1744681016880,163,240,283,133,333
1744681016881,161,238,282,133,333
1744681016886,161,238,282,133,330
1744681016902,161,238,282,132,332
1744681016902,161,237,282,132,332
1744681016902,161,236,281,132,332
1744681016919,160,237,279,132,331
1744681016919,160,238,282,133,331
1744681016919,161,237,282,132,329
1744681016935,160,237,282,134,331
1744681016935,161,238,282,133,331
1744681016951,161,236,281,131,331
1744681016951,162,238,281,132,330
1744681016968,161,236,281,132,330
1744681016968,161,237,283,132,332
1744681016988,159,238,282,134,330
1744681017002,161,235,279,133,332
1744681017023,162,239,282,133,333
1744681017023,160,238,282,131,329
1744681017042,159,236,282,131,330
1744681017042,159,237,279,132,330
1744681017058,161,237,278,132,331
1744681017120,159,234,280,134,330
1744681017146,159,237,281,130,331
1744681017162,159,234,279,133,331
1744681017162,161,234,281,132,331
1744681017162,160,236,280,134,331
1744681017177,160,237,281,134,330
1744681017177,160,236,279,133,330
1744681017178,160,239,281,133,329
1744681017186,160,237,281,133,331
1744681017205,161,233,281,130,331
1744681017205,161,237,279,132,330
1744681017205,160,237,281,131,330
1744681017205,161,236,277,134,330
1744681017223,159,236,278,131,330
1744681017223,160,238,279,131,330
1744681017223,161,235,279,132,327
1744681017223,161,237,279,131,331
1744681017242,159,235,279,132,330
1744681017242,160,237,279,135,330
1744681017242,161,235,279,131,332
1744681017257,160,238,278,129,330
1744681017275,158,235,279,129,329
1744681017285,158,236,278,131,330
1744681017286,160,235,279,131,327
1744681017291,159,234,279,132,329
1744681017307,158,235,279,129,329
1744681017324,160,234,278,130,330
1744681017340,158,236,279,132,330
1744681017340,158,237,282,132,331
1744681017340,160,238,280,132,332
1744681017360,160,238,282,131,332
1744681017373,160,237,279,131,330
1744681017374,160,239,282,134,333
1744681017392,161,239,286,131,333
1744681017411,160,239,284,133,334
1744681017430,161,240,283,133,334
1744681017430,161,239,282,134,332
1744681017430,162,240,282,133,333
1744681017454,161,240,286,134,335
1744681017479,162,239,285,134,331
1744681017498,161,239,285,133,332
1744681017515,160,237,282,133,332
1744681017549,163,239,282,133,331
1744681017564,161,239,284,132,333
1744681017581,163,240,285,133,333
1744681017581,162,239,282,134,332
1744681017581,161,238,282,132,334
1744681017581,161,238,282,133,331
1744681017597,162,238,282,130,330
1744681017597,157,229,283,132,332
1744681017597,161,239,283,134,331
