timestamp,value1,value2,value3,value4,value5
1744685948343,212,255,304,277,218
1744685948344,211,256,305,278,218
1744685948360,211,256,310,280,217
1744685948360,211,253,305,277,217
1744685948360,209,251,305,275,217
1744685948360,210,256,304,279,218
1744685948360,210,256,306,279,218
1744685948393,210,256,306,277,218
1744685948443,209,256,307,278,218
1744685948443,209,256,307,281,219
1744685948443,210,256,306,278,217
1744685948459,210,256,305,276,217
1744685948459,210,256,307,278,217
1744685948459,210,256,305,279,217
1744685948459,211,256,306,277,215
1744685948479,211,256,307,278,218
1744685948479,209,255,306,275,216
1744685948479,210,254,304,275,215
1744685948499,208,253,304,277,217
1744685948558,210,256,305,276,215
1744685948594,209,256,304,277,213
1744685948596,210,255,305,278,214
1744685948596,209,256,304,276,214
1744685948598,209,252,304,273,214
1744685948611,209,252,305,275,213
1744685948611,210,256,304,275,214
1744685948644,209,254,304,273,211
1744685948660,208,253,304,276,214
1744685948694,209,252,304,277,213
1744685948697,209,253,304,274,215
1744685948709,210,253,304,275,214
1744685948709,210,256,305,276,215
1744685948717,208,252,304,276,214
1744685948717,211,256,304,277,214
1744685948736,211,254,304,275,217
1744685948736,211,254,304,275,215
1744685948736,214,256,304,275,215
1744685948752,213,254,304,276,215
1744685948785,211,256,305,278,219
1744685948785,212,256,304,279,215
1744685948785,213,256,306,278,218
1744685948788,213,256,304,278,219
1744685948803,212,256,304,278,218
1744685948803,211,257,304,279,219
1744685948803,214,256,307,278,217
1744685948820,215,257,307,279,219
1744685948820,216,257,304,281,220
1744685948820,214,257,304,281,218
1744685948837,214,257,305,277,217
1744685948837,213,256,306,278,219
1744685948838,215,256,304,277,214
1744685948854,214,256,306,278,218
1744685948875,215,259,315,289,219
1744685948885,215,262,314,283,219
1744685948885,216,258,314,281,219
1744685948903,215,257,314,281,218
1744685948903,214,257,312,279,219
1744685948903,215,257,313,281,219
1744685948903,215,256,310,282,221
1744685948921,215,256,314,284,220
1744685948921,213,256,313,281,218
1744685948921,211,254,311,282,218
1744685948937,213,254,311,280,219
1744685948937,211,254,310,279,217
1744685948937,213,251,310,281,218
1744685948953,210,250,307,277,214
1744685948972,210,249,306,277,214
1744685948986,209,251,307,278,218
1744685949019,211,251,309,280,218
1744685949020,210,253,311,282,218
1744685949035,210,254,310,281,217
1744685949035,212,249,310,277,215
1744685949035,211,251,306,275,215
1744685949035,210,247,304,273,214
1744685949037,210,246,305,275,214
1744685949067,208,247,304,273,213
1744685949067,209,247,304,272,211
1744685949067,208,247,304,272,214
1744685949104,208,246,305,273,216
1744685949122,209,246,304,274,214
1744685949122,210,245,305,273,213
1744685949122,208,246,304,272,213
1744685949139,209,245,304,272,213
1744685949139,208,245,306,273,213
1744685949139,210,243,305,273,215
1744685949156,208,246,306,274,214
1744685949173,208,245,305,274,213
1744685949191,208,245,304,272,213
1744685949217,208,244,304,272,213
1744685949242,208,242,304,272,211
1744685949257,208,241,302,272,211
1744685949268,208,240,301,272,210
1744685949268,208,242,301,272,212
1744685949268,205,240,301,272,212
1744685949268,207,239,303,272,212
1744685949271,207,244,304,272,213
1744685949302,207,242,304,272,211
1744685949302,207,240,300,272,212
1744685949302,206,241,301,272,211
1744685949320,205,240,295,269,210
1744685949320,205,240,294,269,208
1744685949354,205,240,296,270,209
1744685949354,205,241,295,271,210
1744685949355,206,240,294,270,209
1744685949374,206,243,299,271,209
1744685949374,203,237,297,270,210
1744685949374,207,245,297,269,210
1744685949391,208,244,298,272,213
1744685949391,208,244,299,271,211
1744685949391,208,244,299,272,212
1744685949407,208,245,298,272,209
1744685949407,208,246,298,272,211
1744685949424,210,253,301,272,213
1744685949430,210,251,301,272,214
1744685949483,209,253,301,274,213
1744685949501,210,253,303,272,213
1744685949501,213,256,304,274,214
1744685949501,213,256,304,277,215
1744685949518,214,259,306,279,219
1744685949518,215,257,305,276,217
1744685949518,219,258,307,281,218
1744685949534,215,260,309,279,215
1744685949534,218,259,307,280,217
1744685949534,218,263,309,279,217
1744685949550,219,261,306,281,217
1744685949550,218,262,310,283,221
1744685949589,217,263,311,283,218
1744685949597,218,266,313,283,219
1744685949601,215,263,310,281,219
1744685949606,215,262,310,283,219
1744685949620,217,262,313,283,223
1744685949620,218,265,314,286,223
1744685949627,218,261,314,283,222
1744685949628,217,261,313,281,221
1744685949659,215,259,307,280,219
1744685949659,215,255,308,278,218
1744685949659,214,256,307,278,219
1744685949680,213,256,306,279,219
1744685949696,214,255,305,277,217
1744685949727,213,256,308,278,218
1744685949746,213,256,307,278,220
1744685949761,213,253,304,277,214
1744685949761,212,254,304,275,214
1744685949761,213,253,304,274,217
1744685949761,212,252,304,273,217
1744685949761,213,252,304,275,217
1744685949761,210,250,304,273,215
1744685949797,212,251,303,273,214
1744685949822,211,252,302,274,215
1744685949846,213,253,304,274,215
1744685949857,212,252,302,273,215
1744685949874,213,251,304,272,215
1744685949874,211,247,299,272,214
1744685949874,209,246,302,272,215
1744685949874,212,249,303,273,213
1744685949891,209,247,303,272,214
1744685949891,211,247,299,273,214
1744685949895,211,247,301,273,212
1744685949902,212,251,304,273,214
1744685949904,213,255,304,277,215
1744685949923,214,256,305,275,215
1744685949938,213,256,304,274,217
1744685949955,215,256,304,274,215
1744685949971,214,256,304,274,217
1744685949971,213,256,304,274,218
1744685949973,214,256,304,273,215
1744685949974,214,257,304,276,218
1744685949989,215,256,304,275,214
1744685949989,214,257,305,275,215
1744685949989,212,257,304,277,217
1744685950024,214,257,304,275,218
1744685950024,213,258,306,277,216
1744685950059,212,257,306,278,218
1744685950089,211,258,305,278,220
1744685950089,212,257,305,278,218
1744685950089,214,257,304,279,218
1744685950089,213,257,306,277,217
1744685950097,214,259,306,279,218
1744685950101,214,259,307,278,218
1744685950110,213,261,306,278,216
1744685950110,215,259,306,277,218
1744685950127,213,260,304,275,215
1744685950127,213,257,304,273,215
1744685950143,214,257,304,275,218
1744685950143,215,256,305,274,218
1744685950179,214,259,306,278,215
1744685950179,214,258,304,278,218
1744685950179,213,260,305,278,219
1744685950187,215,260,307,279,218
1744685950191,214,259,304,276,215
1744685950204,214,258,304,277,217
1744685950220,216,265,310,277,218
1744685950220,216,265,309,279,220
1744685950257,218,267,310,280,221
1744685950260,217,267,310,279,218
1744685950291,214,262,306,277,216
1744685950313,213,260,305,276,216
1744685950326,214,257,304,277,214
1744685950326,214,258,305,277,218
1744685950326,213,258,304,276,218
1744685950353,213,259,304,277,218
1744685950353,213,261,304,276,218
1744685950355,212,259,306,277,215
1744685950376,214,263,306,279,218
1744685950376,211,262,305,278,217
1744685950376,214,261,306,277,218
1744685950376,213,264,309,278,219
1744685950396,213,263,307,279,218
1744685950417,216,265,310,281,218
1744685950584,214,265,309,279,218
1744685950584,215,260,304,279,215
1744685950584,213,261,304,277,215
1744685950584,211,261,304,277,215
1744685950584,213,259,304,277,215
1744685950584,211,257,304,276,219
1744685950584,211,261,305,278,217
1744685950584,214,258,304,279,217
1744685950584,213,261,304,275,218
1744685950584,213,259,304,277,219
1744685950584,213,259,305,277,220
1744685950584,213,259,305,278,220
1744685950584,213,262,305,277,218
1744685950584,214,263,307,278,218
1744685950584,215,261,306,277,218
1744685950584,214,261,304,277,217
1744685950584,214,260,304,277,217
1744685950602,211,260,305,277,214
1744685950602,213,259,306,276,218
1744685950602,217,261,306,277,217
1744685950602,214,259,305,277,218
1744685950625,215,261,309,280,219
1744685950625,218,264,310,281,219
1744685950643,218,262,308,281,221
1744685950674,217,264,306,281,219
1744685950674,219,266,311,284,222
1744685950674,220,263,309,283,222
1744685950694,220,266,313,285,224
1744685950694,219,267,313,285,224
1744685950694,222,271,318,290,225
1744685950694,221,272,319,289,225
1744685950709,219,272,318,290,226
1744685950710,222,272,320,289,225
1744685950728,221,271,319,288,224
1744685950728,222,272,320,288,226
1744685950762,223,272,320,290,226
1744685950778,222,272,322,292,227
1744685950778,223,272,321,293,226
1744685950796,224,272,321,293,229
1744685950796,224,272,320,294,228
1744685950796,221,270,319,291,228
1744685950798,222,266,320,295,227
1744685950812,223,266,317,291,226
1744685950847,215,261,311,286,223
1744685950848,218,257,312,285,223
1744685950848,213,254,306,281,219
1744685950885,214,253,306,280,218
1744685950899,211,252,304,281,219
1744685950899,209,246,304,278,218
1744685950901,210,245,302,275,215
1744685950922,209,243,303,272,215
1744685950922,209,245,300,273,214
1744685950922,209,246,304,274,215
1744685950922,209,244,304,274,215
1744685950937,210,245,304,275,218
1744685950959,210,246,306,276,218
1744685950959,209,248,305,274,216
1744685950959,210,249,306,275,217
1744685950980,211,250,307,277,217
1744685951005,210,249,306,277,217
1744685951029,209,247,307,275,217
1744685951029,211,249,307,277,218
1744685951032,211,252,308,279,217
1744685951048,210,247,307,277,218
1744685951048,211,246,304,275,215
1744685951061,211,247,305,277,215
1744685951061,211,249,305,274,215
1744685951061,211,250,304,276,217
1744685951081,211,251,306,277,218
1744685951098,211,251,304,277,218
1744685951140,211,251,306,277,219
1744685951171,211,252,307,279,218
1744685951171,212,254,308,279,221
1744685951171,215,256,311,283,222
1744685951181,213,253,309,282,221
1744685951181,213,254,309,281,219
1744685951192,213,254,311,285,221
1744685951192,212,253,310,282,222
1744685951204,214,254,310,273,221
1744685951204,214,256,309,272,219
1744685951204,214,253,308,278,221
1744685951237,215,256,312,283,221
1744685951245,213,256,308,281,219
1744685951260,214,256,310,281,222
1744685951261,215,257,314,283,222
1744685951261,215,256,312,283,223
1744685951281,214,257,309,284,221
1744685951281,214,256,309,284,223
1744685951281,215,257,314,281,223
1744685951281,213,256,309,283,222
1744685951297,215,256,311,283,223
1744685951312,215,256,314,283,223
1744685951312,217,258,314,286,224
1744685951331,215,257,311,283,226
1744685951357,217,256,314,287,225
1744685951368,215,258,314,285,222
1744685951387,215,257,314,284,222
1744685951387,215,257,312,282,221
1744685951387,217,256,310,281,221
1744685951405,215,256,310,282,221
1744685951405,215,258,311,287,224
1744685951405,216,256,312,287,224
1744685951405,213,256,313,287,222
1744685951420,215,256,313,287,223
1744685951437,213,257,310,282,221
1744685951439,215,256,311,283,223
1744685951478,214,256,309,288,221
1744685951487,215,255,311,286,222
1744685951503,214,256,309,283,221
1744685951503,214,256,311,283,221
1744685951503,213,256,313,283,222
1744685951505,213,257,314,286,221
