timestamp,sock1,sock2,sock3,sock4,sock5,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7
1746049940946,É4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049940946,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049940963,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049940979,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049940979,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049940996,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941012,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941012,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941030,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941045,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941045,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941063,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941079,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941079,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941095,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941112,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941112,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941129,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941146,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941146,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941162,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941180,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941180,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941196,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941213,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941213,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941230,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941230,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941246,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941262,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941278,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941278,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941295,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941313,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941313,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941329,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941329,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941346,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941363,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941363,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941379,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941395,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941395,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941412,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941429,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941429,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941446,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941462,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941462,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941479,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941495,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941495,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941513,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941528,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941528,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941545,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941563,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941563,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941579,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941596,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941596,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941613,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941629,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941629,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941645,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941663,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941663,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941679,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941696,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941696,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941712,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941729,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941729,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941746,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941762,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941762,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941779,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941779,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941796,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941812,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941812,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941829,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941846,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941846,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941863,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941879,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941879,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941896,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941912,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941912,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941930,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941946,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941946,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941964,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941978,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941978,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049941996,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942012,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942012,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942029,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942045,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942045,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942063,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942079,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942079,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
1746049942095,4095,4095,4095,4095,4095,0,0,0,0,0,0,0
