timestamp,value1,value2,value3,value4,value5
1744682869576,169182,267,319,155,362
1744682869598,182182,270,319,156,363
1744682869598,183,266,316,158,363
1744682869633,,272,320,158,368
1744682869633,184,272,324,157,367
1744682869701,186,272,323,160,368
1744682869701,184,269,322,160,366
1744682869701,186,271,321,161,368
1744682869720,185,270,320,158,365
1744682869733,183,269,319,157,364
1744682869733,182,269,320,160,367
1744682869733,182,270,320,159,368
1744682869768,185,271,321,159,368
1744682869787,184,272,321,159,367
1744682869787,181,271,320,157,367
1744682869787,183,269,320,158,367
1744682869787,181,269,320,158,367
1744682869805,183,269,320,155,368
1744682869805,182,270,319,155,366
1744682869822,182,267,320,158,365
1744682869822,181,269,320,156,367
1744682869838,183,267,320,157,366
1744682869838,183,266,317,156,365
1744682869838,181,266,317,155,366
1744682869838,179,269,318,154,365
1744682869838,180,265,320,157,366
1744682869850,181,267,316,153,363
1744682869855,179,265,315,153,362
1744682869905,177,259,314,154,355
1744682869912,177,261,311,150,358
1744682869912,178,262,313,155,359
1744682869920,179,263,314,151,358
1744682869936,176,261,311,153,359
1744682869936,177,260,311,150,355
1744682869936,178,261,311,150,355
1744682869938,177,261,311,150,357
1744682869953,177,259,311,150,355
1744682869953,177,258,314,149,353
1744682869953,176,259,310,150,355
1744682869971,177,260,313,149,355
1744682869971,177,262,311,151,355
1744682869971,178,260,313,151,354
1744682869975,177,259,310,148,356
1744682870019,177,263,310,151,355
1744682870019,176,262,311,149,355
1744682870039,177,260,313,150,355
1744682870039,176,261,311,153,357
1744682870039,177,262,313,150,358
1744682870039,177,261,314,150,359
1744682870055,177,262,313,150,358
1744682870055,177,261,314,150,357
1744682870055,178,262,314,151,355
1744682870071,177,259,307,150,355
1744682870071,177,255,314,149,354
1744682870087,178,260,314,151,355
1744682870091,178,262,311,150,355
1744682870122,178,260,315,150,355
1744682870139,178,260,314,151,356
1744682870143,176,261,314,153,357
1744682870156,178,259,313,149,354
1744682870156,178,258,311,151,353
1744682870156,176,258,310,153,355
1744682870177,176,259,312,150,354
1744682870177,177,262,314,153,357
1744682870184,177,262,309,154,357
1744682870193,176,259,311,151,354
1744682870210,177,260,310,150,354
1744682870246,178,261,314,150,357
1744682870280,178,265,314,155,362
1744682870280,180,266,318,155,358
1744682870315,180,267,317,155,363
1744682870315,181,267,320,157,362
1744682870315,181,268,318,159,363
1744682870318,179,266,316,155,359
1744682870333,179,263,317,157,361
1744682870352,179,263,314,156,361
1744682870373,179,263,316,155,361
1744682870373,177,265,316,155,365
1744682870389,179,263,319,158,361
1744682870389,182,266,315,157,361
1744682870391,181,267,318,155,360
1744682870407,179,266,317,157,359
1744682870407,180,266,317,159,364
1744682870407,181,267,319,157,363
1744682870422,181,266,318,157,363
1744682870422,179,267,320,157,363
1744682870438,181,269,321,158,368
1744682870438,183,270,320,160,368
1744682870438,182,269,320,159,368
1744682870439,182,271,320,160,368
1744682870456,185,272,323,158,368
1744682870472,184,272,323,159,368
1744682870490,187,272,325,163,368
1744682870490,186,272,323,162,368
1744682870490,186,273,323,163,370
1744682870491,186,272,327,162,373
1744682870521,187,272,327,161,372
1744682870527,186,272,327,163,373
1744682870528,186,272,326,165,374
1744682870529,189,275,334,167,379
1744682870554,190,278,333,174,381
1744682870554,191,281,336,171,378
1744682870572,190,282,336,173,379
1744682870620,193,287,342,176,386
1744682870620,194,287,337,175,384
1744682870620,193,286,336,175,384
1744682870621,193,283,335,175,384
1744682870643,194,285,336,176,386
1744682870643,193,284,336,174,384
1744682870643,192,285,338,176,383
1744682870643,192,283,336,174,383
1744682870661,194,280,336,174,384
1744682870663,192,281,335,173,383
1744682870677,192,282,336,173,384
1744682870681,192,282,336,173,383
1744682870710,192,282,333,173,381
1744682870726,192,279,331,171,384
1744682870726,192,281,333,173,381
1744682870744,192,281,334,172,381
1744682870758,193,281,334,174,381
1744682870758,191,279,331,173,382
1744682870777,191,275,325,169,379
1744682870796,189,274,329,172,379
1744682870818,189,277,329,170,378
1744682870871,192,276,329,170,378
1744682870871,190,275,331,167,379
1744682870871,190,276,325,170,378
1744682870887,189,273,327,167,375
1744682870910,187,274,326,167,377
1744682870910,189,274,326,168,375
1744682870915,189,273,325,167,375
1744682870921,190,275,327,166,377
1744682870973,189,273,326,165,374
1744682870973,188,273,326,167,375
1744682870973,187,274,324,165,375
1744682870995,190,274,327,166,375
1744682870995,189,274,327,167,375
1744682871013,188,273,324,166,375
1744682871032,190,274,326,167,375
1744682871032,191,273,326,169,378
1744682871032,190,277,329,169,379
1744682871032,192,279,330,169,381
1744682871079,192,276,327,167,377
1744682871079,191,275,326,168,379
1744682871090,190,278,329,169,377
1744682871090,190,278,329,166,378
1744682871097,191,275,327,166,375
1744682871097,189,276,327,166,376
1744682871117,190,275,327,165,375
1744682871117,189,274,329,166,377
1744682871117,190,273,327,164,377
1744682871117,190,277,330,166,377
1744682871132,189,276,328,163,375
1744682871132,188,273,326,166,376
1744682871132,190,276,328,170,379
1744682871149,191,274,327,166,378
1744682871149,189,273,325,167,376
1744682871149,191,273,327,165,377
1744682871167,187,272,329,165,376
1744682871185,187,273,326,165,374
1744682871201,190,275,326,165,373
1744682871201,189,276,327,164,378
1744682871219,191,278,334,169,378
1744682871219,192,279,332,172,379
1744682871219,192,278,330,173,380
1744682871220,191,278,331,170,382
1744682871234,192,281,336,174,384
1744682871234,192,279,336,171,382
1744682871237,191,279,333,171,383
1744682871252,192,278,334,170,382
1744682871252,192,279,336,174,382
1744682871266,192,280,336,174,382
1744682871266,191,281,335,174,384
1744682871284,192,282,335,174,384
1744682871315,192,285,336,176,385
1744682871315,193,283,336,176,388
1744682871315,194,286,337,175,386
1744682871315,194,286,338,176,386
1744682871335,194,289,342,176,389
1744682871335,198,293,348,182,397
1744682871351,197,290,342,177,389
1744682871366,196,292,343,181,391
1744682871366,195,288,341,176,394
1744682871367,194,285,338,175,385
1744682871386,194,287,341,176,385
1744682871419,192,284,336,175,382
1744682871438,192,286,338,173,382
1744682871452,192,286,339,174,384
1744682871452,192,285,340,175,384
1744682871452,192,281,336,171,383
1744682871470,191,279,335,170,379
1744682871470,189,276,330,168,379
1744682871470,183,272,326,165,374
1744682871487,186,272,324,161,372
1744682871487,185,272,325,165,370
1744682871502,185,272,323,162,370
1744682871502,183,272,324,163,374
1744682871545,189,274,330,170,380
1744682871581,191,277,333,170,380
1744682871663,190,279,334,171,382
1744682871675,192,282,336,172,382
1744682871675,192,282,335,174,382
1744682871688,192,283,336,174,384
1744682871708,192,282,336,173,382
1744682871708,192,279,334,173,379
1744682871708,190,281,334,170,381
1744682871708,186,283,336,173,379
1744682871723,190,275,330,171,377
1744682871723,191,278,333,170,381
1744682871723,191,279,333,170,379
1744682871740,191,279,335,170,382
1744682871741,190,279,334,170,381
1744682871741,190,279,336,173,382
1744682871742,192,283,336,174,384
1744682871808,192,283,336,172,381
1744682871825,192,284,336,174,384
1744682871825,192,283,336,172,385
1744682871825,193,283,336,173,383
1744682871825,193,283,336,174,384
1744682871825,192,287,336,175,382
1744682871841,192,286,337,176,384
1744682871841,193,285,336,172,385
1744682871844,195,288,341,175,384
1744682871848,192,287,337,176,386
1744682871858,192,283,336,176,381
1744682871874,192,284,336,176,384
1744682871889,191,286,336,176,383
1744682871909,192,283,336,175,383
1744682871927,193,284,337,176,384
1744682871927,193,284,336,176,384
1744682871927,192,287,337,173,384
1744682871942,195,288,339,178,385
1744682871942,194,287,339,176,383
1744682871942,193,287,338,176,384
1744682871950,193,286,336,176,383
1744682871961,193,287,336,176,384
1744682871962,194,284,336,176,384
1744682871962,192,285,336,176,384
1744682871965,192,284,335,176,381
1744682871974,192,278,330,175,375
1744682871986,190,276,330,170,374
1744682872011,189,274,328,169,372
1744682872029,191,275,329,172,371
1744682872043,191,278,333,173,375
1744682872043,191,281,333,173,381
1744682872045,192,279,335,175,378
1744682872049,192,277,333,173,379
1744682872085,189,277,333,174,379
1744682872102,192,277,333,173,379
1744682872102,192,277,331,174,378
1744682872135,191,276,330,171,375
1744682872135,189,275,330,171,375
1744682872160,191,279,333,175,379
1744682872160,192,277,331,175,379
1744682872197,191,279,333,171,378
1744682872197,192,279,333,172,381
1744682872200,191,281,333,175,381
1744682872215,192,280,334,175,380
1744682872216,192,281,335,176,382
1744682872216,193,285,336,176,383
1744682872242,192,281,336,176,383
1744682872263,192,283,336,176,382
1744682872266,192,282,336,176,384
1744682872280,192,282,335,176,382
1744682872280,194,287,336,176,384
1744682872310,194,288,339,177,386
1744682872310,194,286,337,176,386
1744682872310,193,286,338,178,387
