timestamp,value1,value2,value3,value4,value5
1744681514977,175,254,304,144,349
1744681514994,173,252,303,144,346
1744681514994,174,251,302,146,348
1744681514994,175,251,304,144,348
1744681515010,176,253,304,144,350
1744681515012,176,251,305,146,348
1744681515028,176,256,305,147,351
1744681515063,176,256,304,146,349
1744681515083,176,256,304,145,347
1744681515083,176,256,304,145,349
1744681515083,175,256,304,144,346
1744681515083,175,254,305,144,347
1744681515083,172,254,304,146,346
1744681515115,173,254,304,146,349
1744681515152,175,253,304,144,347
1744681515167,176,253,304,145,348
1744681515199,175,256,304,146,347
1744681515215,176,256,305,145,350
1744681515215,176,252,307,146,350
1744681515215,176,256,310,147,351
1744681515215,176,256,306,146,351
1744681515234,178,256,309,149,355
1744681515234,176,256,306,146,352
1744681515234,176,256,315,149,354
1744681515234,176,258,309,149,354
1744681515234,178,257,304,150,354
1744681515234,176,257,304,147,353
1744681515249,176,257,310,149,351
1744681515249,176,258,307,145,356
1744681515250,176,261,306,149,356
1744681515268,176,256,304,149,353
1744681515268,176,259,311,146,353
1744681515283,176,258,311,147,352
1744681515286,176,259,309,147,353
1744681515299,176,258,309,147,353
1744681515315,178,260,310,150,354
1744681515315,177,258,309,148,353
1744681515334,177,258,310,149,354
1744681515348,176,258,309,150,354
1744681515348,176,258,310,150,353
1744681515368,176,258,307,146,353
1744681515368,176,258,307,147,352
1744681515381,176,257,310,150,353
1744681515397,176,257,309,150,352
1744681515397,176,258,306,150,352
1744681515416,176,258,308,149,353
1744681515416,177,259,310,151,353
1744681515433,178,259,310,154,356
1744681515439,177,262,314,155,357
1744681515449,181,266,317,155,361
1744681515467,178,266,317,153,359
1744681515467,183,266,317,155,362
1744681515497,186,272,323,160,367
1744681515555,183,271,322,158,366
1744681515582,187,272,323,162,368
1744681515582,189,271,328,163,368
1744681515582,189,275,327,163,369
1744681515594,187,275,332,163,370
1744681515606,188,276,330,163,369
1744681515606,183,272,329,162,368
1744681515627,185,272,326,161,368
1744681515627,189,273,327,164,368
1744681515627,189,274,327,162,369
1744681515627,187,272,327,164,368
1744681515645,187,272,327,162,368
1744681515645,190,273,323,164,368
1744681515654,187,273,324,166,368
1744681515654,185,272,325,159,368
1744681515667,185,273,322,160,367
1744681515667,183,272,322,158,365
1744681515667,187,272,321,162,365
1744681515673,186,272,320,158,365
1744681515687,187,272,320,160,366
1744681515687,185,272,320,161,365
1744681515705,185,270,319,161,364
1744681515705,182,270,320,160,363
1744681515722,184,268,317,159,363
1744681515730,186,269,319,159,363
1744681515738,183,268,319,157,363
1744681515791,185,269,317,159,363
1744681515811,181,270,318,157,361
1744681515811,182,268,316,158,359
1744681515811,181,267,315,155,360
1744681515811,184,267,316,158,363
1744681515811,181,270,318,158,361
1744681515811,182,266,317,159,361
1744681515827,181,267,316,159,359
1744681515827,184,268,317,157,363
1744681515844,183,269,315,158,361
1744681515894,181,269,317,160,361
1744681515924,182,270,320,160,362
1744681515951,182,269,320,158,363
1744681515971,182,270,319,159,365
1744681515971,183,271,320,158,366
1744681515976,184,269,320,159,364
1744681515993,184,268,322,154,365
1744681515993,181,267,317,158,359
1744681515993,185,271,319,158,362
1744681515993,183,271,320,159,365
1744681516004,183,270,319,159,365
1744681516004,183,270,320,158,366
1744681516021,185,272,325,170,366
1744681516021,183,269,322,164,365
1744681516038,183,272,325,164,368
1744681516038,182,262,320,160,367
1744681516038,183,272,321,160,368
1744681516038,185,272,315,162,367
1744681516038,187,272,320,158,368
