sock_reading_1,sock_reading_2,sock_reading_3,sock_reading_4,sock_reading_5,value1,value2,value3,value4,value5,value6,value7,timestamp_ms
-2.39180513789519,-2.4449421736653947,-2.412392728882395,-2.318204890097896,-1.9468369422683869,-0.9571662356336942,-1.0578407842854354,-0.817480854796759,-0.64222355269427,-0.7344164926429345,-0.7335825116785164,-0.6184227287483168,1744688261970
-2.439260419582776,-2.4733558719061244,-2.429712820603914,-2.3725504960558967,-1.9589337856989708,-0.957166235748993,-1.0530305933568915,-0.817480854796759,-0.64222355269427,-0.7318644868037102,-0.733582511874538,-0.6184227287483168,1744688261990
-2.4821988823857386,-2.5020797275806377,-2.445915706228328,-2.4244289168839614,-1.981120560924858,-0.9571662359011558,-1.0485316054860987,-0.817480854796759,-0.64222355269427,-0.7295609212109134,-0.7335825120516151,-0.6184227287483168,1744688262010
-2.516412246643592,-2.530497066966286,-2.4600545009154215,-2.4712183499556364,-2.0205148361923673,-0.9571662360365911,-1.0448331799229178,-0.817480854796759,-0.64222355269427,-0.7277184171642491,-0.7335825121114852,-0.6184227287483168,1744688262030
-2.538233434068082,-2.5563916257689163,-2.4713038828750107,-2.5093607065528545,-2.0786602668658087,-0.9571662360788448,-1.0426341023976144,-0.817480854796759,-0.64222355269427,-0.7264728896651398,-0.7335825119566123,-0.6184227287483168,1744688262050
-2.545282091470666,-2.5763415616071152,-2.4790353737358535,-2.5348723795607913,-2.150058176724322,-0.9571662359530078,-1.0427378525238014,-0.817480854796759,-0.64222355269427,-0.7258545081459133,-0.7335825115386773,-0.6184227287483168,1744688262070
-2.5372682189570535,-2.586932317164799,-2.4828783878000658,-2.54447801774086,-2.222613754169603,-0.9571662356235299,-1.0457971817150922,-0.817480854796759,-0.64222355269427,-0.7257771623261159,-0.7335825109109568,-0.6184227287483168,1744688262090
-2.516361959442622,-2.5862534383394986,-2.4827563761869147,-2.5368458077876705,-2.2806201113240476,-0.9571662351345847,-1.0519885219211942,-0.817480854796759,-0.64222355269427,-0.7260535521646619,-0.7335825102610372,-0.6184227287483168,1744688262110
-2.4867786630165742,-2.574914465972232,-2.4789072894960817,-2.5132972047942985,-2.30984604731189,-0.9571662346345732,-1.0607488984552806,-0.817480854796759,-0.64222355269427,-0.7264323762108648,-0.7335825098963259,-0.6184227287483168,1744688262130
-2.4536697039797133,-2.556035119381139,-2.4718835028846056,-2.4776238779122646,-2.3028162803459766,-0.9571662343634872,-1.0707191410842503,-0.817480854796759,-0.64222355269427,-0.7266458081011173,-0.7335825101621027,-0.6184227287483168,1744688262150
