timestamp,value1,value2,value3,value4,value5,value6
1744682862619,331,498,461,201,576,0,320
1744682862619,330,496,455,200,574,0,319
1744682862619,335,498,462,198,573,0,320
1744682862619,333,499,460,201,576,0,319
1744682862636,333,497,462,199,574,0,319
1744682862653,334,500,460,205,575,0,320
1744682862699,333,501,461,204,575,0,320
1744682862699,335,502,462,202,573,0,320
1744682862700,335,503,462,203,571,0,320
1744682862700,334,502,461,205,573,0,320
1744682862735,334,503,464,206,574,0,320
1744682862769,333,501,461,203,573,0,320
1744682862769,336,503,461,205,573,0,320
1744682862769,336,502,463,206,575,0,320
1744682862801,337,502,463,203,571,0,321
1744682862818,336,504,464,205,575,0,321
1744682862818,336,505,460,206,574,0,321
1744682862818,336,505,463,206,571,0,321
1744682862821,335,505,463,206,574,0,322
1744682862821,336,501,463,208,574,0,320
1744682862835,336,507,464,208,574,0,322
1744682862835,335,506,461,206,573,0,322
1744682862835,336,510,464,205,571,0,320
1744682862852,336,509,464,208,574,0,321
1744682862852,336,508,463,207,575,0,322
1744682862869,336,511,465,208,576,0,322
1744682862914,335,511,463,208,575,0,322
1744682862935,336,511,464,208,574,0,321
1744682862953,336,522,464,208,573,0,322
1744682862953,336,511,464,208,575,0,323
1744682862953,335,511,464,208,576,0,323
1744682862953,334,523,464,207,575,0,321
1744682862968,335,522,464,207,576,0,320
1744682862968,335,524,465,208,572,0,323
1744682862968,336,523,464,208,573,0,323
1744682862988,334,526,464,208,573,0,322
1744682862988,334,524,464,208,573,0,320
1744682863003,335,525,464,208,571,0,320
1744682863035,332,527,464,208,571,0,320
1744682863051,334,528,464,208,574,0,320
1744682863051,331,527,464,208,576,0,323
1744682863051,334,526,464,208,573,0,320
1744682863051,335,528,465,208,571,0,321
1744682863070,335,528,465,208,574,0,320
1744682863070,336,528,466,208,575,0,321
1744682863087,336,531,466,208,576,0,323
1744682863103,336,531,466,208,576,0,322
1744682863103,336,530,467,209,576,0,322
1744682863118,336,533,467,208,576,0,321
1744682863154,337,532,468,209,576,0,320
1744682863154,336,532,469,208,578,0,322
1744682863157,336,535,471,210,578,0,322
1744682863169,338,536,473,209,576,0,320
1744682863178,336,535,474,208,578,0,323
1744682863178,338,533,471,208,577,0,322
1744682863197,338,535,470,208,581,0,323
1744682863215,337,539,472,208,578,0,323
1744682863215,337,539,471,208,579,0,322
1744682863231,338,538,472,208,577,0,322
1744682863279,338,538,469,210,576,0,323
1744682863279,336,539,471,209,580,0,326
1744682863279,336,539,470,208,577,0,323
1744682863289,336,539,471,209,580,0,323
1744682863290,336,537,474,209,582,0,325
1744682863290,336,539,473,210,578,0,323
1744682863309,336,542,471,211,581,0,325
1744682863322,336,544,475,210,578,0,324
1744682863328,336,545,475,209,581,0,323
1744682863348,336,544,478,210,579,0,326
1744682863365,336,543,474,210,579,0,326
1744682863406,338,545,474,210,582,0,325
1744682863417,336,545,476,209,581,0,324
1744682863425,336,545,474,211,581,0,325
1744682863443,336,546,476,209,582,0,325
1744682863443,336,544,476,212,580,0,326
1744682863443,336,542,477,209,583,0,326
1744682863443,336,545,471,210,582,0,325
1744682863443,336,549,480,211,579,0,325
1744682863443,336,549,476,210,581,0,328
1744682863458,336,546,477,209,583,0,329
1744682863476,336,546,479,209,583,0,330
1744682863509,334,551,478,209,582,0,331
1744682863526,336,551,480,210,583,0,330
1744682863526,334,551,479,211,585,0,331
1744682863526,334,549,480,209,583,0,331
1744682863528,335,546,484,211,586,0,331
1744682863542,333,550,479,211,586,0,330
1744682863545,331,551,482,213,583,0,331
1744682863561,335,554,482,211,585,0,333
1744682863577,335,551,481,210,587,0,332
1744682863577,330,555,484,212,589,0,334
1744682863591,331,552,485,212,589,0,334
1744682863625,331,551,484,211,589,0,329
1744682863644,333,555,485,211,590,0,335
1744682863659,335,554,485,212,591,0,336
1744682863659,333,555,486,213,592,0,336
1744682863659,332,558,486,214,592,0,336
1744682863659,333,560,490,214,587,0,335
1744682863674,336,557,487,213,591,0,336
1744682863691,335,557,490,210,591,0,336
1744682863691,333,560,489,214,592,0,337
1744682863708,333,560,491,211,592,0,337
1744682863713,333,559,491,214,592,0,338
1744682863746,336,558,491,213,592,0,337
