timestamp,value1,value2,value3,value4,value5,value6,
174468676028.00,196,1285,214,101,576,619,148
174468676033.00,188,1310,222,64,557,613,141
174468676034.00,192,1310,226,86,566,610,144
174468676038.00,205,1246,208,113,576,599,143
174468676038.00,208,1258,211,132,599,615,166
174468676042.00,209,1250,208,150,612,621,174
174468676042.00,213,1255,221,162,619,624,180
174468676043.00,217,1235,208,170,635,624,177
174468676045.00,226,1209,199,166,627,618,181
174468676045.00,233,1218,208,187,650,635,193
174468676045.00,240,1195,206,189,659,643,208
174468676045.00,242,1177,209,206,671,645,219
174468676047.00,247,1123,202,210,688,654,220
174468676047.00,271,1076,196,217,701,656,230
174468676047.00,272,1042,192,231,716,657,238
174468676047.00,278,1002,190,230,725,662,243
174468676048.00,288,995,193,240,737,663,253
174468676048.00,294,967,190,234,751,673,257
174468676050.00,304,944,185,224,746,665,247
174468676050.00,304,960,191,240,766,681,254
174468676053.00,313,971,202,251,779,684,257
174468676054.00,316,990,208,256,787,685,258
174468676054.00,305,969,207,259,794,693,258
174468676056.00,320,1001,215,262,807,704,267
174468676056.00,318,1008,217,259,803,705,268
174468676056.00,320,1023,222,266,814,719,270
174468676056.00,306,1049,229,272,814,719,271
174468676058.00,298,1040,219,263,816,723,265
174468676058.00,284,1040,214,263,821,733,266
174468676058.00,272,1043,213,265,835,747,273
174468676060.00,261,1031,208,259,827,735,270
174468676060.00,275,1040,208,267,835,740,272
174468676060.00,273,990,198,259,833,738,271
174468676060.00,281,979,196,261,843,742,275
174468676061.00,284,957,188,254,847,748,273
174468676065.00,289,938,186,250,848,743,279
174468676068.00,283,921,187,245,848,739,277
174468676070.00,287,892,176,234,849,741,272
174468676070.00,275,878,167,226,853,740,270
174468676070.00,272,863,163,221,855,739,260
174468676072.00,262,850,155,214,854,739,256
174468676072.00,254,861,155,211,853,735,250
174468676072.00,240,859,143,206,854,739,242
174468676072.00,231,848,128,192,837,722,223
174468676073.00,208,861,121,193,853,742,218
174468676073.00,193,878,112,183,843,734,208
174468676077.00,170,885,103,176,821,720,186
174468676080.00,160,889,92,161,812,719,175
174468676082.00,141,898,87,153,795,711,161
174468676082.00,117,907,80,154,784,710,150
174468676082.00,98,915,65,148,788,719,145
174468676082.00,85,915,48,153,785,723,146
174468676082.00,64,903,33,143,786,726,142
174468676082.00,66,911,25,141,783,724,131
174468676084.00,47,945,39,138,797,752,134
174468676084.00,33,979,52,146,801,767,141
174468676085.00,22,1023,78,153,799,768,144
174468676088.00,18,1052,95,157,805,784,144
174468676090.00,16,1093,103,170,808,809,149
174468676092.00,16,1133,127,176,811,819,150
174468676092.00,15,1153,135,176,808,832,155
174468676092.00,6,1193,151,169,801,833,161
174468676092.00,0,1172,147,147,790,837,157
174468676093.00,0,1203,153,144,789,854,151
174468676095.00,0,1217,151,129,790,876,155
174468676099.00,0,1231,150,117,774,867,144
174468676101.00,0,1250,161,112,766,869,144
174468676105.00,0,1247,157,81,761,879,144
174468676105.00,0,1260,162,64,746,880,144
174468676105.00,0,1277,173,33,726,881,143
174468676105.00,0,1286,176,12,718,881,142
174468676106.00,0,1310,193,0,707,880,137
174468676106.00,0,1317,195,0,697,885,138
174468676106.00,0,1329,205,0,694,885,135
174468676106.00,0,1340,207,0,698,901,138
174468676106.00,0,1351,211,0,689,895,141
174468676108.00,0,1375,226,0,681,886,141
174468676110.00,9,1367,223,0,682,894,144
174468676112.00,19,1373,227,0,674,891,148
174468676114.00,24,1385,237,0,673,891,148
174468676114.00,32,1391,240,0,678,896,147
174468676115.00,36,1406,249,0,675,892,147
174468676115.00,36,1375,240,0,678,895,149
174468676117.00,35,1394,233,0,679,902,150
174468676117.00,41,1397,228,0,679,903,144
174468676117.00,38,1408,219,0,679,907,146
174468676119.00,33,1411,219,0,679,903,146
174468676120.00,27,1398,208,0,678,911,148
174468676120.00,25,1395,206,0,673,912,151
174468676125.00,27,1399,203,0,671,911,149
174468676127.00,23,1395,197,0,669,907,160
174468676129.00,25,1397,193,0,657,905,159
174468676129.00,19,1397,192,0,653,903,155
174468676129.00,18,1396,182,0,650,901,144
174468676130.00,21,1398,182,0,653,907,145
174468676130.00,25,1405,183,0,655,907,148
174468676130.00,24,1408,192,0,654,902,154
174468676132.00,32,1398,192,0,656,908,158
174468676135.00,33,1398,194,0,656,907,160
174468676139.00,34,1402,195,0,656,905,159
174468676139.00,35,1395,197,0,654,901,166
174468676139.00,32,1415,207,0,650,893,169
174468676139.00,32,1403,199,0,651,896,170
174468676140.00,26,1399,197,0,649,895,170
174468676140.00,25,1405,193,0,654,906,175
174468676141.00,16,1396,192,0,637,890,166
174468676142.00,1,1409,192,0,631,882,166
174468676142.00,0,1403,186,0,627,887,174
174468676143.00,0,1399,181,0,624,882,176
174468676144.00,0,1406,182,0,625,893,186
174468676149.00,0,1407,179,0,610,877,179
174468676151.00,0,1397,186,0,605,873,182
174468676151.00,0,1402,192,0,599,867,188
174468676151.00,0,1396,191,0,593,861,185
174468676151.00,0,1402,193,0,591,856,185
174468676151.00,0,1399,201,0,587,849,188
174468676152.00,0,1410,203,0,576,835,179
174468676152.00,3,1407,204,0,573,835,179
174468676154.00,16,1406,207,0,569,830,176
174468676155.00,18,1410,210,0,567,825,175
174468676156.00,29,1418,214,0,569,821,177
174468676159.00,31,1425,228,0,567,821,176
174468676162.00,35,1417,231,0,566,821,178
174468676164.00,33,1415,233,0,560,816,176
174468676167.00,34,1421,239,0,555,815,173
174468676167.00,36,1415,240,0,549,814,174
174468676169.00,42,1433,249,0,537,804,167
174468676172.00,43,1424,243,0,531,800,163
174468676172.00,43,1402,235,0,506,773,141
174468676172.00,38,1423,248,0,511,787,127
174468676174.00,37,1425,246,0,510,784,133
174468676174.00,33,1434,258,0,504,779,133
174468676174.00,32,1401,252,0,503,771,132
174468676174.00,38,1421,251,0,509,779,138
174468676176.00,37,1424,254,0,511,781,137
174468676176.00,39,1421,253,0,511,778,137
174468676176.00,45,1431,256,0,510,771,130
174468676177.00,48,1426,257,0,511,778,133
174468676177.00,50,1408,246,0,505,761,123
174468676179.00,46,1429,259,0,523,775,125
174468676179.00,51,1436,262,0,523,773,122
174468676179.00,58,1443,270,0,523,769,117
174468676181.00,66,1431,266,0,527,775,119
174468676182.00,73,1429,267,0,525,773,118
174468676184.00,80,1433,269,0,528,773,114
174468676186.00,81,1435,270,0,528,767,117
174468676186.00,89,1446,274,0,528,767,117
174468676186.00,81,1412,270,0,528,763,114
174468676187.00,91,1430,272,0,530,768,114
174468676190.00,104,1437,274,0,540,778,118
174468676191.00,109,1436,272,0,534,764,112
174468676192.00,115,1443,283,0,538,757,111
174468676195.00,127,1411,274,0,537,753,105
174468676197.00,139,1409,272,0,529,742,89
174468676197.00,146,1425,278,0,531,739,80
174468676197.00,150,1417,281,0,511,717,62
174468676197.00,145,1421,289,0,503,686,34
174468676198.00,163,1395,288,0,496,656,19
174468676198.00,208,1370,289,16,482,619,1
174468676200.00,240,1370,304,53,480,597,0
174468676200.00,277,1360,320,114,478,576,0
174468676202.00,317,1347,325,160,464,537,0
174468676203.00,349,1329,326,202,464,511,0
174468676203.00,381,1299,319,241,461,482,0
174468676206.00,400,1315,336,287,481,492,0
174468676209.00,416,1299,345,313,479,473,0
174468676209.00,432,1311,361,336,485,474,0
174468676211.00,444,1297,358,341,496,479,0
174468676211.00,459,1296,361,355,501,477,0
174468676212.00,463,1293,362,362,501,480,0
174468676212.00,465,1295,368,383,507,479,0
174468676212.00,471,1296,380,393,507,471,0
174468676214.00,483,1301,377,393,511,487,0
174468676214.00,489,1291,370,390,523,495,0
174468676218.00,469,1318,384,391,531,510,0
174468676221.00,463,1329,380,383,545,534,0
174468676221.00,457,1347,396,384,549,555,0
174468676223.00,437,1351,393,368,560,576,0
174468676223.00,416,1375,398,359,571,613,0
174468676223.00,388,1405,406,352,581,654,0
174468676225.00,368,1431,420,336,593,688,0
174468676225.00,368,1471,452,327,609,731,0
174468676226.00,367,1488,458,292,627,782,0
174468676231.00,350,1514,476,262,640,816,0
174468676231.00,339,1535,493,239,653,855,0
174468676233.00,315,1575,500,206,659,894,0
174468676233.00,287,1607,533,171,661,925,0
174468676233.00,256,1616,531,126,666,955,0
174468676233.00,231,1630,534,85,661,976,0
174468676235.00,208,1647,511,54,651,987,0
174468676235.00,171,1655,482,21,621,989,0
174468676235.00,176,1678,466,0,597,994,0
174468676237.00,160,1649,437,0,576,990,0
174468676237.00,154,1671,427,0,560,992,0
174468676237.00,135,1690,418,0,563,1015,0
174468676238.00,111,1695,419,0,554,1008,0
174468676241.00,100,1712,432,0,557,1009,0
174468676244.00,64,1710,426,0,563,1022,0
174468676244.00,22,1711,421,0,565,1023,0
174468676244.00,0,1723,416,0,569,1038,0
174468676245.00,0,1725,410,0,574,1040,0
174468676246.00,0,1742,427,0,576,1041,0
174468676246.00,0,1712,417,0,580,1040,0
174468676248.00,0,1734,430,0,587,1049,0
174468676250.00,0,1742,421,0,593,1061,0
174468676251.00,0,1735,399,0,563,1015,0
174468676258.00,0,1741,385,0,511,964,0
174468676258.00,0,1723,361,0,469,913,0
174468676258.00,0,1712,342,0,438,867,0
174468676258.00,0,1707,320,0,417,810,0
174468676258.00,0,1699,302,0,403,754,0
174468676259.00,0,1686,271,0,384,678,0
174468676259.00,0,1647,227,0,363,574,0
174468676259.00,0,1621,173,0,318,476,0
174468676259.00,0,1585,118,0,287,378,0
174468676261.00,0,1521,74,0,240,245,0
174468676261.00,0,1455,48,0,208,134,0
174468676263.00,0,1351,20,0,177,48,0
174468676266.00,0,1232,11,0,157,0,0
174468676267.00,0,1123,9,0,144,0,0
174468676268.00,0,994,0,0,144,0,0
174468676268.00,0,866,0,0,136,0,0
174468676268.00,0,720,0,0,140,0,0
174468676270.00,0,550,0,0,141,0,0
174468676271.00,0,400,0,0,145,0,0
174468676271.00,0,247,0,0,144,0,0
174468676273.00,0,170,0,0,144,0,0
174468676276.00,0,156,0,0,129,0,0
174468676280.00,0,130,0,0,120,0,0
174468676281.00,0,123,0,0,108,0,0
174468676283.00,0,122,0,0,102,0,0
174468676283.00,0,105,0,0,97,0,0
174468676283.00,0,107,0,5,97,0,0
174468676283.00,0,100,0,6,96,0,0
174468676286.00,4,96,0,5,97,0,0
174468676286.00,8,97,0,2,98,0,0
174468676286.00,11,105,0,1,90,0,0
174468676286.00,14,100,0,0,91,0,0
174468676287.00,16,91,0,0,80,0,0
174468676289.00,6,99,0,1,85,0,0
174468676292.00,0,100,0,1,81,0,0
174468676295.00,0,99,0,4,80,0,0
174468676295.00,0,86,0,2,83,0,0
174468676295.00,0,86,0,3,85,0,0
174468676295.00,0,78,0,6,86,0,0
174468676297.00,0,76,0,6,90,0,0
174468676297.00,0,78,0,14,90,0,0
174468676297.00,0,75,0,5,87,0,0
174468676299.00,0,70,0,0,81,0,0
174468676299.00,0,74,0,2,85,0,0
174468676302.00,0,75,0,5,83,0,0
174468676304.00,0,71,0,4,81,0,0
174468676304.00,0,66,0,3,82,0,0
174468676304.00,0,67,0,2,81,0,0
174468676305.00,0,67,0,0,80,0,0
174468676305.00,0,71,0,6,80,0,0
174468676305.00,0,71,0,5,80,0,0
174468676307.00,0,69,0,0,80,0,0
174468676307.00,0,65,0,0,79,0,0
174468676309.00,0,67,0,0,80,0,0
174468676310.00,0,69,0,0,81,0,0
174468676314.00,0,71,0,0,81,0,0
174468676315.00,0,73,0,0,81,0,0
174468676317.00,0,70,0,0,85,0,0
174468676317.00,0,80,0,0,83,0,0
174468676317.00,0,80,0,0,89,0,0
174468676319.00,0,86,0,2,87,0,0
174468676319.00,0,86,0,0,90,0,0
174468676319.00,2,84,0,0,83,0,0
174468676322.00,0,92,0,0,91,0,0
174468676326.00,0,98,0,0,95,0,0
174468676328.00,0,101,0,2,98,0,0
174468676329.00,2,105,0,0,98,0,0
