timestamp,value1,value2,value3,value4,value5,value6
174468671181,115,596,132,157,327,91,79
174468671183,123,599,138,157,343,99,85
174468671188,128,607,140,151,330,84,74
174468671188,126,598,135,158,338,93,80
174468671192,128,596,133,159,336,91,80
174468671192,126,599,135,159,347,99,85
174468671193,123,599,134,155,338,92,80
174468671193,122,594,133,153,337,90,79
174468671195,125,599,135,158,339,94,80
174468671196,128,595,137,160,336,93,80
174468671198,123,599,134,157,345,97,84
174468671198,123,592,135,154,337,93,81
174468671198,125,597,137,159,337,93,80
174468671200,120,592,136,155,338,95,81
174468671200,123,595,131,155,336,91,78
174468671200,123,597,134,157,346,97,82
174468671202,122,592,135,155,336,94,80
174468671202,122,595,135,157,336,94,80
174468671202,119,592,131,154,336,89,80
174468671202,130,592,135,154,336,92,80
174468671203,122,592,132,153,339,95,81
174468671203,125,592,135,158,337,93,80
174468671204,126,605,142,163,331,85,75
174468671205,126,598,137,158,339,94,80
174468671206,130,592,133,156,337,91,80
174468671210,123,595,134,157,342,98,85
174468671210,124,593,133,158,337,93,80
174468671210,123,595,137,160,336,91,80
174468671212,123,595,137,157,337,93,80
174468671212,128,592,134,156,336,93,80
174468671212,119,592,131,154,341,96,81
174468671213,122,592,133,158,336,93,80
174468671215,125,605,139,165,330,87,75
174468671215,125,598,134,159,338,93,80
174468671217,128,592,134,155,336,87,80
174468671220,124,596,134,158,343,96,83
174468671222,121,592,134,159,337,93,80
174468671223,123,594,132,158,336,90,80
174468671223,122,592,135,159,337,92,80
174468671223,128,592,135,156,336,95,81
174468671223,119,591,128,153,337,96,81
174468671225,122,592,133,159,337,91,80
174468671225,122,592,135,157,336,90,80
174468671227,122,594,134,157,336,92,80
174468671229,128,592,132,156,336,91,80
174468671229,122,593,133,159,342,100,84
174468671233,121,592,133,157,336,91,80
174468671233,123,593,134,159,336,93,80
174468671233,121,592,131,160,336,93,79
174468671233,124,592,129,155,335,89,79
174468671235,119,592,129,154,337,97,82
174468671236,122,592,130,159,336,91,80
174468671236,124,592,132,157,336,92,80
174468671238,123,594,135,160,337,93,80
174468671240,128,592,131,155,336,87,80
174468671240,121,593,132,157,341,97,84
174468671241,114,591,129,155,334,89,78
174468671245,122,593,131,156,335,88,80
174468671245,124,592,135,157,336,91,80
174468671245,128,592,132,159,334,90,80
174468671247,122,592,130,153,338,95,79
174468671247,123,589,133,157,336,91,80
174468671250,123,592,131,155,336,91,79
174468671250,122,592,133,155,336,92,79
174468671250,127,590,130,151,333,87,80
174468671251,123,593,133,155,341,97,84
174468671256,122,586,133,154,336,93,79
174468671260,122,578,132,155,337,91,79
174468671262,123,558,133,161,336,91,75
174468671262,126,511,133,162,336,87,72
174468671262,113,482,131,160,338,92,67
174468671262,115,454,137,166,336,89,64
174468671262,112,431,140,167,337,92,62
174468671262,112,410,142,171,338,90,64
174468671264,114,387,143,171,336,91,64
174468671264,112,368,138,170,342,98,70
174468671264,111,347,135,167,333,96,69
174468671265,128,353,144,176,338,99,73
174468671268,128,345,144,178,343,102,75
174468671270,135,339,144,178,341,100,75
174468671270,131,337,144,182,352,110,80
174468671270,134,336,144,183,346,103,80
174468671271,135,352,148,191,338,96,76
174468671271,138,351,146,183,348,104,81
174468671271,138,352,144,178,343,104,80
174468671273,135,368,144,184,352,109,85
174468671274,123,374,144,179,339,99,79
174468671275,128,386,144,176,343,100,77
174468671276,126,396,144,178,343,100,77
174468671280,128,400,144,176,342,96,74
174468671281,119,405,144,176,348,107,79
174468671283,116,407,144,175,342,99,69
174468671283,119,415,144,176,342,98,73
174468671283,121,417,142,175,340,97,74
174468671283,128,417,140,171,341,97,70
174468671285,118,421,134,170,344,100,75
174468671285,122,423,139,174,344,95,75
174468671286,122,428,138,173,343,96,74
174468671287,122,427,139,173,345,96,75
174468671291,129,427,138,172,342,96,75
174468671295,126,421,135,174,346,96,75
174468671297,127,421,138,175,349,98,80
174468671297,127,428,144,181,337,89,74
174468671297,128,415,139,176,350,98,80
174468671299,128,415,141,176,348,98,80
174468671299,128,413,139,176,351,103,86
174468671299,129,411,139,176,349,99,80
