timestamp,value1,value2,value3,value4,value5,value6
174468826195,0,49,0,0,193,0,0
174468826197,0,54,0,0,192,0,0
174468826197,0,46,0,0,193,0,0
174468826197,0,45,0,0,192,0,0
174468826197,0,43,0,0,194,0,0
174468826197,0,47,0,0,192,0,0
174468826200,0,48,0,0,193,0,0
174468826202,0,59,0,0,193,0,0
174468826202,0,61,0,0,197,0,0
174468826202,0,62,0,0,192,0,0
174468826202,0,61,0,0,196,0,0
174468826202,0,64,0,0,193,0,0
174468826204,0,63,0,0,193,0,0
174468826204,0,62,0,0,193,0,0
174468826204,0,59,0,0,196,0,0
174468826207,0,57,0,0,197,0,0
174468826209,0,56,0,0,195,0,0
174468826209,0,53,0,0,196,0,0
174468826212,0,51,0,0,195,0,0
174468826214,0,50,0,0,195,0,0
174468826214,0,53,0,0,195,0,0
174468826215,0,50,0,0,196,0,0
174468826215,0,48,0,0,195,0,0
174468826215,0,46,0,0,197,0,0
174468826217,0,42,0,0,200,0,0
174468826217,0,29,0,0,196,0,0
174468826217,0,21,0,0,195,0,0
174468826219,0,16,0,0,195,0,0
174468826222,0,23,0,0,198,0,0
174468826222,0,25,0,0,198,0,0
174468826226,0,30,0,0,198,0,0
174468826226,0,38,0,0,197,0,0
174468826228,0,40,0,0,198,0,0
174468826228,0,43,0,0,199,0,0
174468826228,0,45,0,0,199,0,0
174468826229,0,43,0,0,201,0,0
174468826229,0,47,0,0,201,0,0
174468826229,0,46,0,0,201,0,0
174468826231,0,47,0,0,200,0,0
174468826231,0,48,0,0,201,0,0
174468826236,0,47,0,0,202,0,0
174468826237,0,48,0,0,202,0,0
174468826237,0,48,0,0,203,0,0
174468826237,0,48,0,0,203,0,0
174468826239,0,49,0,0,203,0,0
174468826239,0,50,0,0,203,0,0
174468826239,0,52,0,0,199,0,0
174468826241,0,54,0,0,203,0,0
174468826244,0,54,0,0,203,0,0
174468826244,0,58,0,0,206,0,0
174468826247,0,57,0,0,203,0,0
174468826249,0,61,0,0,202,0,0
174468826249,0,61,0,0,205,0,0
174468826252,0,59,0,0,204,0,0
174468826254,0,62,0,0,203,0,0
174468826254,0,62,0,0,204,0,0
174468826254,0,64,0,0,205,0,0
174468826254,0,63,0,0,205,0,0
174468826254,0,64,0,0,204,0,0
174468826258,0,64,0,0,205,0,0
174468826261,0,64,0,0,206,0,0
174468826261,0,62,0,0,207,0,0
174468826263,0,62,0,0,203,0,0
174468826266,0,60,0,0,206,0,0
174468826268,0,60,0,0,206,0,0
174468826268,0,51,0,0,208,0,0
174468826271,0,57,0,0,206,0,0
174468826271,0,53,0,0,206,0,0
174468826273,0,54,0,0,205,0,0
174468826273,0,57,0,0,205,0,0
174468826273,0,54,0,0,204,0,0
174468826275,0,54,0,0,205,0,0
174468826275,0,57,0,0,203,0,0
174468826275,0,59,0,0,198,0,0
174468826275,0,55,0,0,197,0,0
174468826276,0,58,0,0,196,0,0
174468826276,0,59,0,0,195,0,0
174468826278,0,60,0,0,194,0,0
174468826278,0,61,0,0,194,0,0
