timestamp,value1,value2,value3,value4,value5,value6
1744681578761,336337,26,805,336,0,0,308
1744681578761,,23,804,336,0,0,306
1744681578761,336,17,800,336,0,0,306
1744681578779,337,16,801,327,0,0,307
1744681578797,336,5,801,329,0,0,307
1744681578797,339,0,799,325,0,0,309
1744681578812,338,0,798,321,0,0,311
1744681578829,339,0,797,318,0,0,310
1744681578847,339,0,789,309,0,0,315
1744681578880,336,0,784,304,0,0,314
1744681578896,336,0,781,297,0,0,315
1744681578928,331,0,773,289,0,0,315
1744681578963,322,0,768,274,0,0,313
1744681579013,317,0,754,259,0,0,308
1744681579038,305,0,739,240,0,0,308
1744681579087,273,0,718,208,0,0,289
1744681579110,205,0,672,157,0,0,262
1744681579141,138,4,602,89,0,0,209
1744681579141,64,30,522,48,0,0,148
1744681579166,14,56,448,1,0,0,100
1744681579187,0,70,382,0,0,0,51
1744681579203,0,81,318,0,0,0,17
1744681579237,0,99,259,0,0,0,0
1744681579287,0,112,215,0,0,0,0
1744681579310,0,126,190,0,0,0,0
1744681579339,0,144,172,0,0,0,0
1744681579371,0,158,156,0,0,0,0
1744681579384,0,173,145,0,0,0,0
1744681579434,0,187,142,0,0,0,0
1744681579470,0,178,128,0,0,0,0
1744681579470,0,183,125,0,0,0,0
1744681579470,0,192,121,0,0,0,0
1744681579470,0,198,123,0,0,0,0
1744681579470,0,0,117,0,0,0,0
1744681579470,0,0,115,0,0,0,0
1744681579487,0,0,115,0,0,0,0
1744681579487,0,233,122,0,0,0,0
1744681579487,0,240,126,0,0,0,0
1744681579504,0,241,127,0,0,0,0
1744681579536,0,239,130,0,0,0,0
1744681579556,0,238,135,0,0,0,0
1744681579556,0,250,138,0,0,3,0
1744681579556,0,368,144,0,0,0,0
1744681579556,0,0,153,0,0,160,0
1744681579591,0,1553,315,0,664,807,0
1744681579608,0,1586,320,0,666,839,0
1744681579641,0,1617,333,0,672,877,0
1744681579676,0,1646,334,0,673,913,0
1744681579689,0,1674,348,0,675,951,0
1744681579718,0,1701,359,0,688,976,0
1744681579738,0,1723,371,0,688,1008,0
1744681579792,0,1742,379,0,688,1040,0
1744681579811,0,1757,384,0,691,1067,0
1744681579831,0,1764,400,0,699,1094,0
1744681579848,0,1778,418,0,715,1122,0
1744681579899,0,1777,438,0,735,1149,26
1744681579934,0,1789,458,0,754,1171,54
1744681579951,0,1793,484,0,773,1192,89
1744681579984,0,1797,501,0,790,1214,113
1744681580008,35,1805,511,0,803,1232,138
1744681580043,64,1799,528,0,816,1246,158
1744681580044,71,1802,538,0,823,1260,178
1744681580064,77,1799,546,0,832,1264,192
1744681580089,80,1796,543,0,839,1264,209
1744681580089,87,1795,549,0,835,1264,217
1744681580110,91,1792,545,0,838,0,227
1744681580142,205,1774,511,0,907,1213,336
1744681580164,221,1770,511,0,912,1198,350
1744681580202,225,1769,511,0,938,0,354
1744681580222,241,1770,505,0,949,0,367
