timestamp,value1,value2,value3,value4,value5,value6
1744680827256,0,0,0,0,0,0,0
1744680827256,0,0,0,0,0,0,0
1744680827256,0,0,0,0,0,0,0
1744680827274,0,0,0,0,0,0,0
1744680827289,0,0,0,0,0,0,0
1744680827289,0,0,0,0,0,0,0
1744680827306,0,0,0,0,0,0,0
1744680827323,0,0,0,0,0,0,0
1744680827340,0,0,0,0,0,0,0
1744680827340,0,0,0,0,0,0,0
1744680827357,0,0,0,0,0,0,0
1744680827357,0,0,0,0,0,0,0
1744680827374,0,0,0,0,0,0,0
1744680827407,0,0,0,0,0,0,0
1744680827407,0,0,0,0,0,0,0
1744680827424,0,0,0,0,0,0,0
1744680827429,0,0,0,0,0,0,0
1744680827439,0,0,0,0,0,0,0
1744680827439,0,0,0,0,0,0,0
1744680827458,0,0,0,0,0,0,0
1744680827458,0,0,0,0,0,0,0
1744680827473,0,0,0,0,0,0,0
1744680827509,0,0,0,0,0,0,0
1744680827523,0,0,0,0,0,0,0
1744680827556,0,0,0,0,0,0,0
1744680827573,0,0,0,0,0,0,0
1744680827595,0,0,0,0,0,0,0
1744680827595,0,0,0,0,0,0,0
1744680827595,0,0,0,0,0,0,0
1744680827595,0,0,0,0,0,0,0
1744680827595,0,0,0,0,0,0,0
1744680827595,0,0,0,0,0,0,0
1744680827595,0,0,0,0,0,0,0
1744680827598,0,0,0,0,0,0,0
1744680827607,0,0,0,0,0,0,0
1744680827624,0,0,0,0,0,0,0
1744680827640,0,0,0,0,0,0,0
1744680827642,0,0,0,0,0,0,0
1744680827657,0,0,0,0,0,0,0
1744680827673,0,0,0,0,0,0,0
1744680827673,0,0,0,0,0,0,0
1744680827690,0,0,0,0,0,0,0
1744680827706,0,0,0,0,0,0,0
1744680827707,0,0,0,0,0,0,0
1744680827723,0,0,0,0,0,0,0
1744680827740,0,0,0,0,0,0,0
1744680827740,0,0,0,0,0,0,0
1744680827756,0,0,0,0,0,0,0
1744680827773,0,0,0,0,0,0,0
1744680827773,0,0,0,0,0,0,0
1744680827790,0,0,0,0,0,0,0
1744680827806,0,0,0,0,0,0,0
1744680827806,0,0,0,0,0,0,0
1744680827823,0,0,0,0,0,0,0
1744680827840,0,0,0,0,0,0,0
1744680827856,0,0,0,0,0,0,0
1744680827890,0,0,0,0,0,0,0
1744680827906,0,0,0,0,0,0,0
1744680827906,0,0,0,0,0,0,0
1744680827906,0,0,0,0,0,0,0
1744680827923,0,0,0,0,0,0,0
1744680827923,0,0,0,0,0,0,0
1744680827923,0,0,0,0,0,0,0
1744680827940,0,0,0,0,0,0,0
1744680827940,0,0,0,0,0,0,0
1744680827957,0,0,0,0,0,0,0
1744680827973,0,0,0,0,0,0,0
1744680827973,0,0,0,0,0,0,0
1744680827990,0,0,0,0,0,0,0
1744680828006,0,0,0,0,0,0,0
1744680828006,0,0,0,0,0,0,0
1744680828023,0,0,0,0,0,0,0
1744680828040,0,0,0,0,0,0,0
1744680828040,0,0,0,0,0,0,0
1744680828056,0,0,0,0,0,0,0
1744680828056,0,0,0,0,0,0,0
1744680828072,0,0,0,0,0,0,0
1744680828090,0,0,0,0,0,0,0
1744680828092,0,0,0,0,0,0,0
1744680828107,0,0,0,0,0,0,0
