timestamp,value1,value2,value3,value4,value5,value6
1744682912669,,237,939,177,0,37,42
1744682912693,142,234,937,176,0,37,44
1744682912693,141,231,935,171,0,35,43
1744682912693,138141,233,940,171,0,36,45
1744682912712,144,229,937,170,0,32,45
1744682912712,144,230,936,171,0,31,46
1744682912727,144,229,938,166,0,32,47
1744682912746,144,229,937,162,0,32,48
1744682912746,144,227,939,161,0,27,48
1744682912790,144,226,939,161,0,31,48
1744682912811,145,225,941,156,0,32,48
1744682912811,144,226,939,149,0,31,48
1744682912811,145,223,939,150,0,32,49
1744682912811,147,222,941,150,0,33,48
1744682912811,147,222,941,151,0,35,50
1744682912811,148,222,943,151,0,33,50
1744682912825,149,217,939,151,0,34,51
1744682912828,146,215,940,147,0,35,53
1744682912842,149,216,942,145,0,33,50
1744682912859,150,218,943,144,0,32,52
1744682912874,149,219,943,144,0,31,54
1744682912874,150,214,943,131,0,32,51
1744682912928,150,214,944,130,0,32,56
1744682912928,151,210,942,131,0,31,53
1744682912928,151,210,943,127,0,29,53
1744682912928,150,210,944,126,0,26,55
1744682912928,153,208,944,115,0,29,55
1744682912945,155,208,942,114,0,28,60
1744682912959,153,208,941,112,0,27,55
1744682912977,154,205,939,112,0,31,54
1744682912977,153,207,941,112,0,32,53
1744682912994,154,208,939,112,0,33,55
1744682913055,155,206,941,108,0,34,54
1744682913055,152,204,941,111,0,33,58
1744682913055,157,204,940,112,0,34,55
1744682913055,154,201,941,111,0,34,57
1744682913055,154,199,939,111,0,32,57
1744682913067,155,201,939,112,0,33,59
1744682913078,153,199,940,111,0,33,62
1744682913078,156,201,938,111,0,34,59
1744682913090,155,201,941,112,0,31,57
1744682913090,157,195,939,112,0,33,59
1744682913110,157,196,939,112,0,33,58
1744682913113,158,194,938,113,0,33,57
1744682913142,155,194,937,112,0,32,59
1744682913159,157,194,941,112,0,35,57
1744682913159,155,195,938,112,0,34,58
1744682913177,156,194,937,112,0,33,55
1744682913177,158,193,934,112,0,33,60
1744682913185,158,192,935,112,0,33,59
1744682913192,159,194,939,112,0,34,59
1744682913209,157,192,934,115,0,32,58
1744682913211,159,192,934,115,0,34,59
1744682913226,159,190,935,116,0,35,57
1744682913264,159,191,934,114,0,37,58
