timestamp,value1,value2,value3,value4,value5,value6
174468772752,25,187,85,80,272,31,31
174468772752,27,186,85,80,266,27,25
174468772754,28,185,84,80,268,27,27
174468772756,26,187,85,80,265,26,26
174468772756,31,186,85,80,268,26,25
174468772756,29,192,87,81,255,19,19
174468772756,26,183,85,80,265,27,26
174468772761,30,185,83,80,262,27,27
174468772761,22,179,82,80,269,32,29
174468772761,29,186,86,80,266,26,26
174468772761,29,191,89,81,254,19,19
174468772761,26,186,85,80,265,26,28
174468772768,30,185,82,80,266,23,26
174468772768,26,185,83,80,271,31,32
174468772768,18,176,80,73,254,23,23
174468772768,24,182,82,79,261,25,26
174468772768,23,183,83,79,265,25,22
174468772768,25,179,80,80,265,26,26
174468772768,26,181,80,75,266,28,26
174468772770,26,185,80,80,265,26,23
174468772771,26,183,80,79,261,26,25
174468772776,25,186,81,79,261,23,23
174468772776,29,181,80,80,257,23,24
174468772776,26,187,83,79,267,30,30
174468772777,24,183,80,77,262,25,23
174468772777,26,182,81,78,261,25,22
174468772777,26,185,82,80,261,25,23
174468772777,25,181,77,75,260,23,23
174468772779,25,183,81,79,270,30,28
174468772783,25,181,80,79,259,25,22
174468772783,25,181,81,77,263,23,22
174468772783,23,183,80,80,261,22,21
174468772783,23,179,79,77,259,27,22
174468772786,23,183,80,79,267,26,29
174468772789,25,182,81,79,260,23,21
174468772789,24,179,80,78,260,23,25
174468772789,24,183,80,79,259,22,22
174468772789,29,181,80,78,260,19,22
174468772789,21,177,80,75,263,25,26
174468772791,16,177,80,75,256,18,19
174468772794,22,178,80,78,261,21,22
174468772794,22,181,81,78,259,21,22
174468772794,28,181,80,77,262,23,22
174468772796,22,179,80,77,266,25,30
174468772799,21,182,80,77,259,22,24
174468772801,21,178,78,75,261,21,23
174468772801,21,181,80,79,259,22,19
174468772801,28,181,80,78,260,21,20
174468772801,21,181,80,75,267,26,27
174468772803,16,176,71,70,253,19,17
174468772803,19,180,79,75,257,22,20
174468772805,20,181,80,76,261,22,18
174468772805,26,179,80,75,259,19,18
174468772806,21,182,80,78,262,26,27
174468772807,21,181,80,77,258,20,20
174468772809,22,179,80,77,257,21,19
174468772811,19,181,80,75,258,21,20
174468772811,27,178,79,77,262,21,22
174468772813,19,182,80,77,263,27,26
174468772814,15,176,74,66,250,19,18
174468772814,19,179,79,75,257,22,21
174468772816,21,182,80,78,258,24,21
174468772817,23,178,79,76,257,18,19
174468772817,20,180,79,76,262,26,26
174468772818,18,181,79,74,257,21,20
174468772820,18,179,77,76,258,22,22
174468772822,21,183,80,77,257,21,21
174468772822,25,179,80,76,255,20,19
174468772824,19,176,78,71,260,25,25
174468772827,17,182,80,75,257,21,19
174468772827,22,185,82,80,246,15,16
174468772828,19,183,80,77,257,19,21
174468772829,26,179,80,72,256,18,20
174468772829,20,181,80,76,263,24,27
174468772829,16,175,74,67,250,17,19
174468772832,20,181,79,75,257,19,19
174468772833,23,182,80,78,257,21,21
174468772837,26,178,80,78,256,17,21
174468772842,19,181,80,74,262,23,26
174468772842,13,173,66,64,251,16,17
174468772842,19,179,79,75,256,17,19
174468772842,19,183,79,75,257,18,20
174468772842,26,178,80,75,254,17,17
174468772842,20,180,80,75,262,25,26
174468772842,17,180,79,75,256,18,21
174468772844,22,185,82,80,250,15,16
174468772844,20,181,80,75,259,21,23
174468772847,23,177,79,73,256,22,21
174468772847,18,177,80,72,256,15,16
174468772849,19,179,80,73,256,21,19
174468772850,18,176,80,73,256,18,19
174468772850,21,179,80,75,258,21,20
174468772851,21,179,80,74,256,21,22
174468772851,18,179,80,71,260,22,27
174468772852,14,174,71,64,247,19,17
174468772857,18,185,82,79,247,15,16
174468772857,18,180,80,71,256,21,19
174468772857,25,178,79,69,254,16,18
174468772857,17,179,80,70,259,24,25
174468772859,19,179,80,68,256,18,19
174468772859,19,183,81,77,245,16,13
174468772859,18,178,80,70,256,19,17
174468772863,25,177,78,68,256,18,18
174468772863,16,176,78,65,259,22,19
174468772863,15,177,77,65,250,16,16
174468772864,17,177,77,70,256,18,18
174468772866,18,178,80,70,256,19,17
174468772866,22,177,80,69,256,16,17
174468772866,16,176,75,65,257,22,19
174468772869,17,179,80,68,256,19,16
174468772871,17,177,76,69,254,17,17
174468772871,16,178,80,67,256,19,17
174468772871,19,176,77,64,254,16,15
174468772874,16,179,80,67,257,24,22
174468772874,17,176,80,69,255,19,17
174468772874,16,183,80,75,245,15,10
174468772876,16,177,80,69,256,18,16
174468772876,23,178,78,67,256,17,16
174468772879,16,177,80,70,257,21,23
174468772883,16,178,79,67,256,19,17
174468772883,17,176,77,67,253,17,17
174468772883,16,179,79,67,253,16,16
174468772883,19,176,78,66,249,16,16
174468772883,14,176,71,64,255,21,16
174468772884,15,178,79,65,254,19,16
174468772886,15,178,78,64,250,17,16
174468772886,15,178,79,66,252,17,16
174468772888,18,176,78,66,255,16,16
174468772889,16,176,76,67,255,22,21
174468772889,17,176,80,71,253,16,17
174468772894,19,176,79,73,252,17,16
174468772896,17,174,79,74,249,16,18
174468772901,18,167,77,75,250,16,19
174468772901,16,163,80,74,256,19,25
174468772903,16,154,77,74,251,16,18
174468772906,16,145,79,79,251,15,18
174468772906,15,144,80,81,251,13,16
174468772906,15,144,80,84,251,13,19
174468772908,12,143,78,84,254,16,21
174468772908,19,143,80,81,250,13,16
174468772908,20,138,77,82,245,11,16
174468772910,23,140,79,85,246,7,16
174468772910,34,135,79,84,241,1,16
174468772910,27,137,79,86,245,6,17
174468772913,18,135,77,80,240,2,11
174468772919,9,138,71,76,239,2,5
174468772920,0,141,75,71,234,1,0
174468772920,0,126,70,59,215,0,0
174468772922,0,98,68,29,198,1,0
174468772922,0,99,60,0,161,0,0
174468772922,0,113,17,0,97,0,0
174468772924,0,128,0,0,47,0,0
174468772924,0,143,0,0,13,0,0
174468772925,0,176,1,0,17,0,0
174468772925,0,235,14,0,13,0,0
174468772925,0,266,26,0,9,0,0
174468772926,0,246,27,0,0,0,0
174468772929,0,144,22,0,0,0,0
174468772930,0,134,36,0,0,0,0
174468772930,0,144,46,0,0,0,0
174468772930,0,173,63,0,6,0,0
174468772932,0,181,70,0,13,0,0
174468772932,0,189,80,0,16,0,0
174468772932,0,190,84,0,16,0,0
174468772932,0,199,86,0,19,0,0
174468772932,0,204,82,0,22,0,0
174468772934,0,208,85,0,17,0,0
174468772934,0,211,79,0,21,0,0
174468772936,0,210,78,0,20,0,0
174468772936,0,211,66,0,16,0,0
174468772936,0,208,53,0,0,0,0
174468772936,0,181,33,0,0,0,0
174468772938,0,144,19,0,0,0,0
