timestamp,value1,value2,value3,value4,value5,value6
1744681015993,0,0,0,0,0,0,0
1744681016010,0,0,0,0,0,0,0
1744681016043,0,0,0,0,0,0,0
1744681016075,0,0,0,0,0,0,0
1744681016075,0,0,0,0,0,0,0
1744681016075,0,0,0,0,0,0,0
1744681016075,0,0,0,0,0,0,0
1744681016075,0,0,0,0,0,0,0
1744681016076,0,0,0,0,0,0,0
1744681016091,0,0,0,0,0,0,0
1744681016091,0,0,0,0,0,0,0
1744681016116,0,0,0,0,0,0,0
1744681016117,0,0,0,0,0,0,0
1744681016126,0,0,0,0,0,0,0
1744681016142,0,0,0,0,0,0,0
1744681016142,0,0,0,0,0,0,0
1744681016146,0,0,0,0,0,0,0
1744681016170,0,0,0,0,0,0,0
1744681016193,0,0,0,0,0,0,0
1744681016193,0,0,0,0,0,0,0
1744681016210,0,0,0,0,0,0,0
1744681016210,0,0,0,0,0,0,0
1744681016212,0,0,0,0,0,0,0
1744681016225,0,0,0,0,0,0,0
1744681016244,0,0,0,0,0,0,0
1744681016244,0,0,0,0,0,0,0
1744681016276,0,0,0,0,0,0,0
1744681016276,0,0,0,0,0,0,0
1744681016276,0,0,0,0,0,0,0
1744681016292,0,0,0,0,0,0,0
1744681016311,0,0,0,0,0,0,0
1744681016312,0,0,0,0,0,0,0
1744681016326,0,0,0,0,0,0,0
1744681016360,0,0,0,0,0,0,0
1744681016376,0,0,0,0,0,0,0
1744681016411,0,0,0,0,0,0,0
1744681016442,0,0,0,0,0,0,0
1744681016446,0,0,0,0,0,0,0
1744681016469,0,0,0,0,0,0,0
1744681016476,0,0,0,0,0,0,0
1744681016479,0,0,0,0,0,0,0
1744681016493,0,0,0,0,0,0,0
1744681016493,0,0,0,0,0,0,0
1744681016493,0,0,0,0,0,0,0
1744681016493,0,0,0,0,0,0,0
1744681016510,0,0,0,0,0,0,0
1744681016536,0,0,0,0,0,0,0
1744681016536,0,0,0,0,0,0,0
1744681016536,0,0,0,0,0,0,0
1744681016536,0,0,0,0,0,0,0
1744681016554,0,0,0,0,0,0,0
1744681016554,0,0,0,0,0,0,0
1744681016554,0,0,0,0,0,0,0
1744681016554,0,0,0,0,0,0,0
1744681016573,0,0,0,0,0,0,0
1744681016573,0,0,0,0,0,0,0
1744681016607,0,0,0,0,0,0,0
1744681016607,0,0,0,0,0,0,0
1744681016607,0,0,0,0,0,0,0
1744681016642,0,0,0,0,0,0,0
1744681016642,0,0,0,0,0,0,0
1744681016658,0,0,0,0,0,0,0
1744681016658,0,0,0,0,0,0,0
1744681016677,0,0,0,0,0,0,0
1744681016677,0,0,0,0,0,0,0
1744681016695,0,0,0,0,0,0,0
1744681016729,0,0,0,0,0,0,0
1744681016746,0,0,0,0,0,0,0
1744681016778,0,0,0,0,0,0,0
1744681016778,0,0,0,0,0,0,0
1744681016778,0,0,0,0,0,0,0
1744681016797,0,0,0,0,0,0,0
1744681016797,0,0,0,0,0,0,0
1744681016797,0,0,0,0,0,0,0
1744681016797,0,0,0,0,0,0,0
1744681016797,0,0,0,0,0,0,0
