timestamp,value1,value2,value3,value4,value5,value6
1744681422851,45,626,165,24,209,50,0
1744681422851,48,658,165,20,225,58,1
1744681422868,48,684,169,16,235,70,2
1744681422868,55,720,175,16,239,101,7
1744681422884,68,746,190,17,241,142,16
1744681422907,81,781,208,23,269,189,43
1744681422907,103,819,238,35,303,228,72
1744681422927,135,858,268,48,343,251,109
1744681422960,171,882,284,52,376,272,158
1744681422980,207,912,297,65,416,289,223
1744681422993,239,945,321,71,448,315,272
1744681423008,281,970,337,84,478,352,315
1744681423026,310,989,363,114,507,397,345
1744681423026,363,1003,396,140,546,432,390
1744681423047,419,1008,418,165,567,474,432
1744681423047,464,1014,451,193,602,511,477
1744681423047,507,1019,480,214,630,555,529
1744681423047,546,1023,501,228,656,587,567
1744681423047,579,1023,534,246,669,614,595
1744681423048,614,1034,557,277,682,637,627
1744681423061,641,1037,578,294,693,663,651
1744681423061,667,1040,599,309,709,688,674
1744681423080,698,1046,621,318,720,707,701
1744681423099,714,1052,635,341,731,727,720
1744681423099,734,1052,650,355,749,743,743
1744681423116,753,1046,658,363,754,761,762
1744681423116,767,1053,669,386,768,781,781
1744681423129,768,1057,679,384,774,793,795
1744681423147,772,1067,687,391,783,806,805
1744681423162,764,1077,694,395,790,816,819
1744681423197,753,1088,698,401,798,828,831
1744681423197,746,1101,703,402,810,841,837
1744681423197,734,1113,711,400,816,849,847
1744681423197,722,1128,718,402,818,862,849
1744681423212,718,1136,720,404,823,871,851
1744681423228,711,1147,727,401,831,886,855
1744681423228,704,1158,734,401,836,902,857
1744681423245,701,1174,737,406,836,910,858
1744681423264,695,1189,738,405,839,919,857
1744681423264,685,1203,742,399,842,929,850
1744681423299,667,1223,742,392,842,944,839
1744681423332,653,1243,742,389,846,953,823
1744681423346,640,1262,741,384,843,961,814
1744681423346,629,1281,740,375,838,972,800
1744681423363,621,1299,740,368,835,979,785
1744681423363,605,1316,740,354,833,992,769
1744681423363,598,1335,735,343,833,1001,749
1744681423363,587,1349,730,337,834,1014,736
1744681423363,576,1370,731,331,828,1019,720
1744681423380,565,1388,727,322,832,1031,704
1744681423380,547,1402,725,311,830,1040,671
1744681423414,532,1421,722,304,827,1049,640
1744681423428,511,1438,720,288,826,1062,601
1744681423429,497,1454,718,277,820,1071,573
1744681423446,481,1466,714,267,820,1077,534
1744681423463,465,1485,711,253,819,1088,476
1744681423463,442,1501,709,241,821,1101,426
1744681423480,429,1518,704,228,818,1117,387
1744681423480,406,1531,704,208,817,1130,359
1744681423480,388,1553,705,197,819,1140,324
1744681423496,383,1570,704,189,819,1158,310
1744681423515,374,1587,706,185,822,1171,291
1744681423515,368,1600,709,176,828,1185,273
1744681423530,362,1616,711,175,833,1198,245
1744681423547,363,1631,710,165,838,1210,219
1744681423547,360,1645,711,147,843,1225,202
1744681423562,358,1657,709,143,848,1238,187
1744681423581,353,1665,710,128,848,1247,164
1744681423581,350,1679,710,112,848,1257,151
1744681423597,334,1690,707,98,843,1264,117
1744681423611,318,1698,704,80,832,1269,93
1744681423613,290,1708,691,67,827,1273,80
1744681423629,279,1713,689,57,816,1277,75
1744681423664,274,1721,682,48,805,1279,64
1744681423693,261,1723,671,27,785,1275,49
1744681423708,247,1727,669,21,774,1277,32
1744681423708,243,1731,658,14,762,1278,18
1744681423708,240,1735,656,9,752,1275,5
1744681423710,231,1743,646,3,743,1275,2
1744681423728,231,1744,647,0,741,1273,1
1744681423728,227,1744,640,0,739,1271,0
1744681423728,230,1747,630,0,747,1271,0
1744681423744,236,1751,624,0,752,1269,0
1744681423761,239,1753,623,0,753,1269,5
1744681423761,241,1757,621,0,751,1267,6
1744681423779,242,1756,619,0,759,1267,14
1744681423779,244,1759,614,0,777,1269,22
1744681423793,241,1761,619,0,784,1267,34
1744681423810,243,1765,618,0,784,1266,49
1744681423827,246,1767,619,0,798,1264,61
1744681423830,247,1767,619,0,807,1264,67
1744681423844,256,1769,619,0,821,1262,74
1744681423844,258,1771,615,0,824,1260,82
1744681423863,263,1773,615,0,834,1255,90
1744681423881,270,1773,611,0,844,1247,99
1744681423881,269,1774,606,0,852,1239,115
1744681423898,273,1773,602,0,863,1235,131
1744681423899,275,1773,596,0,874,1227,146
1744681423913,281,1773,592,0,879,1217,171
1744681423930,283,1773,587,0,885,1203,185
1744681423931,285,1767,576,0,889,1197,193
1744681423947,291,1769,567,0,892,1184,204
1744681423964,293,1766,560,0,899,1168,215
1744681423964,298,1764,556,0,906,1155,230
1744681423980,301,1762,545,0,915,1142,241
1744681423997,304,1760,539,0,927,1130,259
1744681423997,304,1757,531,0,933,1115,272
1744681424031,312,1753,525,0,943,1101,291
1744681424064,320,1750,511,0,945,1085,314
1744681424082,324,1744,511,0,959,1070,336
1744681424097,335,1735,509,10,960,1058,366
1744681424097,342,1724,507,31,966,1043,379
1744681424097,351,1703,501,39,961,1013,400
1744681424097,354,1675,481,41,940,967,404
1744681424097,345,1623,449,35,887,886,403
1744681424114,333,1562,404,19,823,795,403
1744681424114,315,1490,359,12,746,670,404
1744681424129,303,1404,315,0,665,541,429
1744681424129,292,1306,281,0,603,383,441
1744681424147,304,1180,256,0,545,240,464
1744681424164,317,1005,231,6,470,106,493
1744681424164,330,743,208,19,379,1,511
1744681424180,336,446,188,23,284,0,528
1744681424197,332,206,161,32,170,0,534
1744681424197,320,83,140,49,77,0,529
1744681424212,326,93,134,61,46,0,532
1744681424230,324,106,114,61,25,0,511
1744681424230,306,117,99,50,11,0,478
1744681424247,272,128,91,26,0,0,417
1744681424249,208,137,80,7,0,0,372
1744681424263,139,149,67,0,0,0,310
1744681424281,93,160,54,0,0,0,250
1744681424281,47,176,49,0,0,0,185
1744681424331,11,186,38,0,0,0,121
1744681424342,7,205,38,0,0,0,75
1744681424342,17,216,45,0,0,0,71
1744681424361,40,215,49,0,0,0,83
1744681424361,49,212,57,0,0,0,90
1744681424363,53,208,64,0,0,0,97
1744681424378,53,213,64,0,0,0,98
1744681424404,53,214,66,0,0,0,105
1744681424424,55,208,64,0,0,0,110
1744681424454,63,208,64,0,0,0,112
1744681424487,64,192,64,0,0,0,118
1744681424489,67,182,64,0,0,0,123
1744681424489,69,179,62,0,0,0,127
1744681424492,70,175,65,0,0,0,128
1744681424510,67,176,64,0,0,0,129
1744681424510,74,176,64,0,0,0,128
1744681424510,76,170,55,0,0,0,128
1744681424510,70,170,61,0,0,0,137
1744681424510,75,170,64,0,0,0,140
1744681424510,79,155,61,0,0,0,139
1744681424526,75,151,64,0,0,0,141
1744681424526,78,146,64,0,0,0,144
1744681424541,74,140,65,0,0,0,151
1744681424561,73,139,64,0,0,0,150
1744681424561,74,129,65,0,0,0,153
1744681424576,64,123,66,0,0,0,155
1744681424591,67,112,70,0,0,0,159
1744681424591,66,112,66,0,0,0,159
1744681424607,67,105,64,0,0,0,153
1744681424624,70,94,63,0,0,0,153
1744681424624,75,102,67,0,0,0,150
1744681424641,80,106,66,0,0,0,147
1744681424658,79,102,67,0,0,0,149
1744681424658,79,101,67,0,0,0,151
1744681424675,80,102,70,0,0,0,150
1744681424693,80,102,71,0,0,0,144
1744681424693,81,96,74,0,0,0,147
1744681424708,85,93,74,0,0,0,147
1744681424725,81,91,80,0,0,0,148
1744681424743,85,89,80,0,0,0,145
1744681424774,90,89,80,0,0,0,144
1744681424826,92,82,81,0,0,0,146
1744681424826,95,74,80,0,0,0,151
1744681424830,96,79,80,0,0,0,158
1744681424850,97,76,80,0,0,0,162
1744681424850,99,76,82,0,0,0,163
1744681424850,102,73,85,0,0,0,162
1744681424850,103,71,89,0,0,0,169
1744681424850,105,74,94,0,0,0,169
1744681424850,103,77,96,0,0,0,171
1744681424850,109,70,97,0,0,0,171
1744681424864,110,73,102,0,0,0,174
1744681424882,112,73,103,0,0,0,172
1744681424882,112,70,107,0,0,0,172
1744681424899,112,80,106,0,0,0,172
1744681424899,112,80,107,0,0,0,176
1744681424915,112,80,110,0,0,0,182
1744681424932,112,84,110,0,0,0,185
1744681424932,112,81,110,0,0,0,186
1744681424948,111,80,112,0,0,0,187
1744681424964,112,80,112,0,0,0,185
1744681424965,111,87,113,0,0,0,177
1744681424982,100,90,120,0,0,0,184
1744681424998,87,90,116,0,0,0,192
1744681424998,80,97,121,0,0,0,196
1744681425015,73,113,114,0,3,0,203
1744681425031,25,510,111,0,21,16,110
1744681425050,0,711,112,0,0,108,3
1744681425050,0,921,128,0,23,158,0
1744681425066,0,1181,146,0,100,191,0
1744681425066,0,1392,176,0,240,252,0
1744681425082,0,1518,210,0,355,370,0
1744681425116,0,1618,253,0,426,501,0
1744681425150,0,1689,287,23,485,627,0
1744681425164,0,1728,318,39,511,751,0
1744681425199,0,1728,330,49,555,849,0
1744681425200,0,1715,342,48,569,922,0
1744681425215,0,1702,354,49,576,987,0
1744681425215,0,1697,399,80,597,1075,38
1744681425215,0,1698,432,106,650,1118,110
1744681425215,0,1698,463,135,683,1149,159
1744681425215,11,1702,483,165,720,1166,202
1744681425232,36,1707,502,183,752,1177,233
1744681425232,66,1712,511,189,779,1186,256
1744681425232,80,1712,528,195,784,1191,271
1744681425232,100,1716,526,199,791,1195,295
1744681425250,100,1713,525,201,794,1200,299
1744681425252,110,1712,521,195,792,1200,304
1744681425266,112,1712,511,192,788,1201,307
1744681425282,122,1710,511,181,786,1200,315
1744681425294,128,1707,511,177,786,1200,318
1744681425305,134,1702,511,176,785,1200,334
1744681425305,153,1695,526,178,785,1201,337
1744681425325,176,1693,534,192,789,1211,354
1744681425341,202,1683,545,196,798,1216,378
1744681425341,227,1667,566,214,803,1223,400
1744681425357,266,1648,595,228,816,1233,448
1744681425373,299,1615,625,254,836,1245,496
1744681425373,340,1577,665,281,865,1257,575
1744681425394,383,1535,701,311,891,1264,640
1744681425394,433,1483,751,338,921,1265,708
1744681425409,478,1426,783,357,946,1267,775
1744681425424,544,1363,816,378,976,1264,835
1744681425440,611,1283,850,402,994,1254,910
1744681425440,693,1190,885,427,1008,1232,981
1744681425458,784,1043,909,462,1017,1187,1049
1744681425475,880,874,934,477,1023,1128,1125
1744681425475,965,678,957,510,1008,1050,1191
1744681425507,1061,509,973,541,991,956,1249
1744681425525,1141,329,987,571,955,831,1299
1744681425556,1222,138,997,585,887,677,1354
1744681425573,1296,0,997,603,806,494,1402
1744681425573,1358,0,999,622,689,338,1442
1744681425573,1418,0,993,626,586,210,1482
1744681425574,1471,0,983,645,521,144,1520
1744681425583,1519,0,963,656,487,91,1555
1744681425584,1562,0,930,659,464,34,1585
1744681425584,1591,0,889,682,429,0,1605
1744681425591,1620,0,843,677,390,0,1619
1744681425607,1639,0,781,691,337,0,1645
1744681425642,1662,0,737,698,297,0,1655
1744681425658,1680,0,704,702,261,0,1667
1744681425676,1698,0,663,710,212,0,1680
1744681425676,1711,0,624,713,176,0,1684
1744681425692,1723,0,595,716,157,0,1699
1744681425692,1737,0,587,717,133,0,1706
1744681425692,1746,0,566,725,114,0,1712
1744681425692,1755,0,559,721,99,0,1713
1744681425707,1765,0,542,737,84,0,1719
1744681425724,1773,0,533,721,72,0,1727
1744681425757,1778,0,524,727,64,0,1735
1744681425757,1785,0,506,726,57,0,1742
1744681425757,1790,0,495,743,43,0,1744
1744681425757,1796,0,482,751,23,0,1743
1744681425776,1803,0,475,762,8,0,1744
1744681425791,1808,0,474,764,0,0,1744
1744681425808,1809,0,466,762,0,0,1741
1744681425808,1811,0,467,767,0,0,1733
1744681425824,1820,0,461,754,0,0,1713
1744681425824,1818,0,435,745,0,0,1685
1744681425842,1808,0,381,699,0,0,1657
1744681425877,1767,0,314,635,0,0,1611
1744681425892,1681,0,240,566,0,0,1511
1744681425924,1531,0,171,456,0,0,1347
1744681425924,1301,0,116,330,0,0,1122
1744681425924,1021,0,77,160,0,0,832
1744681425924,643,16,59,0,0,0,523
1744681425924,207,50,46,0,0,0,243
1744681425942,0,82,53,0,0,0,16
1744681425942,12,97,65,0,0,0,33
1744681425944,58,95,88,0,0,0,83
1744681425959,79,84,99,0,0,0,106
1744681425976,69,97,110,0,0,0,109
1744681425976,69,108,103,0,0,0,113
1744681425990,83,102,101,0,0,0,119
1744681426009,85,93,94,0,0,0,128
1744681426026,87,93,80,0,0,0,134
1744681426026,83,94,77,0,0,0,129
1744681426041,90,94,79,0,0,0,128
1744681426057,95,99,78,0,0,0,128
1744681426057,97,89,80,0,0,0,129
1744681426075,103,86,78,0,0,0,133
1744681426092,106,85,78,0,0,0,143
1744681426108,108,81,75,0,0,0,143
1744681426121,109,80,74,0,0,0,144
1744681426125,107,80,80,0,0,0,142
1744681426141,107,83,79,0,0,0,134
1744681426159,103,81,79,0,0,0,133
1744681426159,101,90,80,0,0,0,129
1744681426159,107,89,81,0,0,0,132
1744681426179,111,94,81,0,0,0,134
1744681426179,113,97,81,0,0,0,135
1744681426195,112,97,84,0,0,0,135
1744681426207,110,98,82,0,0,0,134
1744681426246,96,99,84,0,0,0,142
1744681426267,87,93,84,0,0,0,146
1744681426292,100,91,82,0,0,0,146
1744681426307,96,92,86,0,0,0,150
1744681426307,101,83,85,0,0,0,154
1744681426307,99,85,87,0,0,0,160
1744681426313,107,83,91,0,0,0,159
1744681426313,109,80,93,0,0,0,162
1744681426332,104,73,93,0,0,0,169
1744681426332,98,66,95,0,0,0,175
1744681426332,92,55,91,0,0,0,176
1744681426332,84,53,91,0,0,0,181
1744681426348,83,53,87,0,0,0,186
1744681426365,85,51,85,0,0,0,190
1744681426399,92,48,85,0,0,0,192
1744681426399,92,52,89,0,0,0,193
1744681426399,94,52,87,0,0,0,190
1744681426399,96,48,95,0,0,0,189
1744681426415,96,48,97,0,0,0,192
1744681426417,109,49,103,0,0,0,193
1744681426433,110,49,106,0,0,0,194
1744681426449,108,53,111,0,0,0,195
1744681426465,101,58,112,0,0,0,198
1744681426465,96,63,125,0,0,0,195
1744681426483,96,64,128,0,0,0,199
1744681426483,93,66,131,0,0,0,202
1744681426500,101,75,137,0,0,0,193
1744681426514,111,73,139,0,0,0,179
1744681426514,115,68,143,0,0,0,174
1744681426532,112,64,142,0,0,0,176
1744681426550,105,71,150,0,0,0,173
1744681426550,100,74,151,0,0,0,164
1744681426565,101,79,155,0,0,0,146
1744681426583,109,93,154,0,0,0,112
1744681426615,15,451,160,0,0,103,0
1744681426658,0,815,159,0,0,212,0
1744681426658,0,1263,173,0,0,286,0
1744681426658,0,1558,195,34,106,304,0
1744681426664,0,1749,223,79,323,384,0
1744681426664,0,1878,273,112,475,528,0
1744681426685,0,1943,334,146,574,692,0
1744681426685,0,1975,366,130,624,841,0
1744681426685,0,1967,384,125,640,950,0
1744681426685,16,1945,400,94,625,1045,0
1744681426704,48,1920,412,74,613,1124,0
1744681426704,112,1897,459,91,654,1187,0
1744681426720,195,1875,492,109,704,1195,0
1744681426737,258,1856,510,112,747,1195,0
1744681426737,304,1831,537,122,781,1181,54
1744681426755,337,1795,562,137,823,1169,130
1744681426772,384,1763,601,162,842,1168,235
1744681426772,421,1720,627,188,858,1171,315
1744681426786,462,1675,662,211,869,1167,370
1744681426806,505,1624,690,224,889,1157,438
1744681426806,570,1578,720,240,921,1145,511
1744681426820,646,1517,747,252,946,1111,639
1744681426838,727,1456,769,267,976,1087,738
1744681426838,810,1377,793,283,994,1050,849
