timestamp,value1,value2,value3,value4,value5,value6
174468693273,0,555,0,54,1154,743,0
174468693276,0,560,0,48,1162,753,0
174468693279,0,558,0,48,1133,742,0
174468693283,00,546,0,61,1167,743,0
174468693283,,576,0,49,1149,750,0
174468693283,0,587,0,48,1146,751,0
174468693283,0,591,0,47,1141,749,0
174468693283,0,599,0,47,1146,758,0
174468693283,0,613,0,48,1136,752,0
174468693284,0,624,0,51,1131,752,0
174468693284,0,633,0,54,1130,752,0
174468693287,0,647,0,57,1123,753,0
174468693287,0,659,0,59,1130,765,0
174468693287,0,668,0,53,1120,752,0
174468693287,0,672,0,52,1119,756,0
174468693287,0,679,0,48,1114,752,0
174468693287,0,677,0,48,1113,754,0
174468693288,0,687,0,48,1123,768,0
174468693289,0,686,0,49,1103,761,0
174468693290,0,714,0,60,1101,752,0
174468693290,0,697,0,53,1110,757,0
174468693291,0,704,0,64,1119,774,0
174468693294,0,706,0,64,1130,777,0
174468693296,0,716,0,67,1120,769,0
174468693298,0,714,0,69,1119,768,0
174468693298,0,719,0,69,1120,769,0
174468693298,0,721,0,73,1122,769,0
174468693298,0,720,0,75,1129,782,0
174468693298,0,729,0,79,1120,775,0
174468693299,0,743,0,80,1104,765,0
174468693301,0,737,0,80,1123,783,0
174468693305,0,746,0,79,1129,784,0
174468693308,0,751,0,80,1134,794,0
174468693309,0,752,0,75,1125,784,0
174468693311,0,763,0,72,1104,771,0
174468693311,0,754,0,64,1126,786,0
174468693311,0,754,0,68,1121,789,0
174468693313,0,759,0,64,1135,806,5
174468693313,0,764,0,64,1123,799,0
174468693313,0,774,0,64,1104,784,0
174468693316,0,767,0,66,1123,800,2
174468693320,0,768,0,64,1123,800,2
174468693320,0,775,0,64,1132,815,9
174468693321,0,777,0,64,1126,807,3
174468693323,0,777,0,61,1123,806,5
174468693323,0,784,0,54,1127,809,3
174468693323,0,782,0,58,1123,806,7
174468693323,0,783,0,55,1135,821,11
174468693328,0,783,0,48,1130,815,8
174468693333,0,791,0,52,1107,801,1
174468693335,0,781,0,50,1127,815,6
174468693335,0,784,0,54,1131,817,10
174468693337,0,785,0,53,1132,816,7
174468693337,0,785,0,57,1136,819,10
174468693337,0,787,0,63,1137,821,11
174468693337,0,785,0,63,1142,825,14
174468693337,0,784,0,62,1153,829,16
174468693337,0,784,0,64,1163,837,18
174468693337,0,768,0,66,1166,832,19
174468693339,0,743,0,77,1161,820,17
174468693340,0,658,0,81,1199,840,33
174468693342,0,609,0,109,1212,835,52
174468693342,0,571,0,125,1231,845,83
174468693344,0,524,0,132,1216,816,96
174468693344,0,496,0,149,1223,792,108
174468693344,0,446,0,160,1257,799,132
174468693344,0,395,0,174,1259,779,139
174468693344,0,345,0,184,1279,777,156
174468693345,15,291,0,194,1280,752,165
174468693347,16,234,0,199,1269,708,176
174468693347,29,187,0,209,1300,688,189
174468693347,40,129,0,216,1306,656,192
174468693349,34,78,0,224,1322,621,199
174468693349,26,18,0,221,1298,555,192
174468693349,18,0,0,238,1325,496,179
174468693355,10,0,0,233,1328,440,170
174468693355,5,0,0,221,1319,374,151
