timestamp,value1,value2,value3,value4,value5,value6
1744684473942,149,0,149,1419,604,107,129
1744684473942,152,0,148,48,603,109,129
1744684473960,151,0,147,150,603,110,128
1744684473976,155,0,150,1434,603,112,125
1744684473993,155,0,150,60,602,113,125
1744684474025,155,0,152,160,604,115,116
1744684474025,159,0,151,1424,602,118,112
1744684474042,160,0,154,43,605,120,109
1744684474042,161,0,153,174,606,118,100
1744684474042,161,0,157,1409,608,121,97
1744684474042,159,0,155,49,607,123,100
1744684474060,161,0,153,203,607,124,97
1744684474076,160,0,157,1377,609,125,96
1744684474095,160,0,155,44,611,125,94
1744684474127,162,0,155,272,613,130,94
1744684474144,160,0,158,1346,615,133,92
1744684474144,165,0,155,39,613,131,91
1744684474144,165,0,156,337,617,132,94
1744684474144,164,0,154,1262,617,134,94
1744684474159,166,0,158,37,618,135,92
1744684474159,165,0,157,431,619,141,93
1744684474176,165,0,156,1104,617,141,90
1744684474176,165,0,155,27,620,141,95
1744684474195,165,0,155,560,620,143,94
1744684474195,167,0,155,972,621,142,94
1744684474234,163,0,157,41,619,143,94
1744684474262,167,0,157,699,618,142,93
1744684474262,167,0,156,827,621,144,96
1744684474262,167,0,156,48,623,144,94
1744684474262,171,0,158,811,623,145,96
1744684474262,167,0,156,717,623,145,99
1744684474282,167,0,156,58,624,149,96
1744684474298,169,0,158,959,624,147,97
1744684474298,168,0,159,559,625,147,97
1744684474315,167,0,159,64,624,147,97
1744684474316,166,0,158,1086,625,151,99
1744684474348,168,0,160,390,625,151,98
1744684474381,167,0,159,77,627,151,100
1744684474381,166,0,159,1258,627,154,99
1744684474381,168,0,162,198,628,155,98
1744684474381,167,0,160,89,629,159,100
1744684474383,166,0,159,1410,629,158,101
1744684474397,166,0,163,131,633,158,101
1744684474415,165,0,158,120,633,157,101
1744684474416,163,0,161,1450,633,157,101
1744684474431,163,0,160,95,634,159,101
1744684474448,163,0,160,129,631,160,100
1744684474482,163,0,161,1456,634,160,102
1744684474514,162,0,162,73,637,160,102
1744684474548,162,0,162,128,638,161,102
1744684474548,163,0,163,1455,637,160,101
1744684474548,161,0,161,55,638,161,102
1744684474548,161,0,163,140,639,161,102
1744684474565,163,0,163,1451,637,161,99
1744684474565,163,0,166,50,638,161,102
1744684474565,164,0,163,161,639,161,101
1744684474565,166,0,165,1436,638,162,102
1744684474584,165,0,165,50,638,160,103
1744684474596,165,0,165,178,640,160,102
1744684474596,167,0,166,1437,639,159,102
1744684474610,168,0,165,45,638,160,102
1744684474610,169,0,165,188,637,160,101
1744684474626,169,0,166,1397,640,160,103
1744684474635,170,0,165,42,638,159,102
1744684474651,170,0,163,218,637,159,100
1744684474651,171,0,161,1367,637,155,97
1744684474668,175,0,159,27,633,151,99
1744684474670,176,0,154,313,629,149,96
1744684474702,176,0,144,1327,629,147,92
1744684474716,178,0,139,36,626,144,81
1744684474716,178,0,123,400,624,144,80
1744684474741,177,0,113,1175,617,144,82
1744684474741,179,0,113,19,617,142,82
1744684474741,170,0,112,509,617,134,78
1744684474758,182,0,114,1040,619,128,73
1744684474758,195,0,128,46,621,126,70
1744684474774,206,0,144,653,623,128,62
1744684474790,208,0,145,909,625,134,67
1744684474790,209,0,156,64,624,128,81
1744684474824,214,0,175,825,618,132,91
1744684474857,219,0,193,791,608,137,102
1744684474857,224,0,208,76,602,144,111
1744684474857,231,0,238,986,592,147,124
1744684474857,251,0,257,663,577,160,130
1744684474857,267,0,274,130,561,177,138
1744684474874,272,0,299,1181,549,192,144
1744684474890,282,0,322,528,531,203,147
1744684474908,291,0,338,154,526,210,162
1744684474908,304,0,367,1337,511,223,176
1744684474924,324,0,385,330,511,253,191
1744684474941,340,0,418,176,511,272,223
1744684474957,361,0,448,1535,507,285,237
1744684474957,378,0,457,198,511,289,267
1744684474957,398,0,452,220,528,290,283
1744684474990,413,0,465,1648,530,307,292
1744684474990,421,0,477,193,535,310,304
1744684474990,434,0,481,270,541,304,304
1744684475007,437,0,489,1626,546,288,321
1744684475023,447,0,496,135,549,290,321
1744684475023,455,0,493,193,553,285,323
1744684475041,457,0,496,1535,554,279,335
1744684475074,459,0,499,94,560,262,336
1744684475092,465,0,500,157,569,258,346
1744684475092,477,0,503,1510,572,243,344
1744684475092,477,0,505,68,575,239,346
1744684475108,477,0,503,137,576,223,346
1744684475108,478,0,495,1445,575,214,351
1744684475108,473,0,487,51,570,198,355
1744684475124,475,0,482,133,564,190,353
1744684475158,477,0,476,1413,559,167,353
1744684475174,475,0,468,53,545,154,356
1744684475207,473,0,464,157,529,139,356
1744684475207,463,0,448,1408,523,127,351
1744684475207,447,0,436,48,499,112,336
1744684475223,432,0,421,170,491,111,326
1744684475223,412,0,400,1347,474,99,309
1744684475223,395,0,372,16,462,99,290
1744684475223,377,0,357,240,443,93,272
1744684475242,366,0,339,1298,433,93,257
1744684475242,353,0,329,14,425,82,240
1744684475258,338,0,315,314,415,78,232
1744684475274,337,0,310,1183,406,68,227
1744684475307,331,0,304,7,400,64,225
1744684475335,322,0,302,437,399,62,217
1744684475335,305,0,290,1042,385,55,208
1744684475335,294,0,286,7,378,55,201
1744684475335,274,0,277,576,368,49,187
1744684475336,263,0,272,893,352,47,178
1744684475357,260,0,261,12,336,45,166
1744684475357,251,0,257,693,327,35,163
1744684475377,240,0,253,763,318,26,151
1744684475377,237,0,251,16,304,14,147
1744684475391,223,0,241,825,301,11,145
1744684475424,212,0,237,638,292,0,133
1744684475441,205,0,227,39,283,0,123
1744684475441,198,0,212,980,272,0,117
1744684475441,193,0,208,490,265,0,115
1744684475441,192,0,204,55,263,0,112
1744684475457,203,0,201,1120,272,0,117
1744684475474,208,0,201,336,274,0,119
1744684475474,219,0,201,82,275,0,125
1744684475490,225,0,201,1338,277,0,127
1744684475507,225,0,204,141,279,0,123
1744684475507,213,0,194,114,282,0,119
1744684475540,208,0,189,1427,278,0,114
1744684475559,207,0,181,128,279,0,115
1744684475559,208,0,181,128,280,0,112
