timestamp,value1,value2,value3,value4,value5,value6
1744681466838,358,1403,580,199,502,723,365
1744681466838,361,1407,581,203,502,722,366
1744681466856,355,1404,583,201,501,721,367
1744681466872,360,1407,582,205,501,721,365
1744681466872,360,1406,583,205,501,720,366
1744681466889,357,1407,582,202,501,723,365
1744681466889,359,1408,582,202,505,725,366
1744681466906,359,1407,583,205,501,726,365
1744681466908,359,1408,583,204,505,729,365
1744681466922,359,1408,585,201,502,727,365
1744681466940,357,1408,583,202,503,728,366
1744681466940,359,1408,582,203,506,730,363
1744681466957,359,1409,583,204,501,729,366
1744681466991,358,1409,585,205,503,729,365
1744681467023,358,1408,586,205,501,732,363
1744681467058,357,1408,586,203,502,729,366
1744681467073,358,1409,585,206,503,732,362
1744681467106,359,1409,583,207,499,731,364
1744681467141,359,1409,583,203,501,731,366
1744681467155,361,1409,587,206,500,732,365
1744681467190,359,1408,586,204,501,731,365
1744681467206,358,1408,585,205,500,731,362
1744681467239,360,1408,583,205,499,732,363
1744681467272,357,1410,585,206,499,730,363
1744681467290,355,1409,583,204,496,729,362
1744681467323,352,1409,578,202,496,730,362
1744681467340,352,1408,580,204,495,729,362
1744681467373,353,1408,578,203,491,726,361
1744681467389,352,1408,579,201,491,725,362
1744681467424,351,1408,577,202,490,721,361
1744681467456,349,1407,576,199,488,721,359
1744681467473,347,1407,576,202,487,720,358
1744681467506,349,1406,575,201,487,720,359
1744681467523,349,1408,576,195,482,719,358
1744681467555,346,1406,576,198,482,720,361
1744681467573,343,1407,576,198,485,720,360
1744681467594,345,1406,575,200,484,720,359
1744681467616,347,1405,576,199,487,720,361
1744681467616,349,1404,576,197,486,719,362
1744681467616,346,1405,575,198,485,720,363
1744681467616,178,1360,449,110,368,547,195
1744681467616,157,1342,415,86,336,490,181
1744681467616,135,1313,375,73,304,433,169
1744681467616,109,1280,347,58,266,369,148
1744681467616,84,1246,319,46,215,314,129
1744681467616,68,1211,297,34,177,262,115
1744681467630,50,1175,275,19,148,222,102
1744681467630,38,1143,261,2,123,182,87
1744681467630,33,1111,252,0,101,160,78
1744681467630,32,1097,243,0,93,149,71
1744681467630,37,1091,239,0,99,147,75
1744681467630,39,1097,240,0,112,154,81
1744681467630,48,1110,247,0,129,176,96
1744681467633,176,1351,374,22,373,489,177
1744681467648,217,1376,394,34,407,538,186
1744681467648,240,1395,412,39,431,577,193
1744681467662,273,1417,435,46,453,615,198
1744681467666,312,1430,450,47,474,656,208
1744681467679,343,1446,466,51,496,691,222
1744681467696,392,1455,490,59,530,725,240
1744681467696,457,1461,537,69,560,752,275
1744681467714,511,1472,571,80,587,783,304
1744681467730,569,1479,593,107,620,809,340
1744681467730,602,1488,612,121,646,829,371
1744681467747,647,1493,629,131,670,846,394
1744681467764,682,1500,649,145,688,858,425
1744681467764,714,1505,661,159,706,873,445
1744681467782,749,1505,671,178,720,880,465
1744681467798,778,1508,686,181,731,896,483
1744681467798,811,1511,690,197,746,904,498
1744681467832,836,1509,703,208,752,910,511
1744681467832,859,1508,710,215,757,912,530
1744681467832,886,1504,720,230,764,922,543
1744681467863,906,1497,731,238,769,928,559
1744681467863,935,1493,746,248,778,937,571
1744681467884,963,1489,755,259,784,943,578
1744681467884,991,1487,770,270,787,944,591
1744681467891,1010,1486,782,277,796,950,595
1744681467927,1023,1485,794,288,805,956,613
